"","germplasmName","Grain.moisture.content._Big6_Fra_23","Grain.moisture.content._Big6_Fre_23","Grain.moisture.content._Big6_Ith_23","Grain.moisture.content._Big6_Laf_23","Grain.moisture.content._Big6_Mas_23","Grain.moisture.content._Big6_Urb_23","Grain.moisture.content._Big6_Vin_23","Grain.moisture.content._Big6_Woo_23","Grain.test.weight...lbs.bu_Big6_Fra_23","Grain.test.weight...lbs.bu_Big6_Fre_23","Grain.test.weight...lbs.bu_Big6_Ith_23","Grain.test.weight...lbs.bu_Big6_Laf_23","Grain.test.weight...lbs.bu_Big6_Mas_23","Grain.test.weight...lbs.bu_Big6_Prn_23","Grain.test.weight...lbs.bu_Big6_Urb_23","Grain.test.weight...lbs.bu_Big6_Vin_23","Grain.test.weight...lbs.bu_Big6_Woo_23","Grain.yield...bu.ac_Big6_Fra_23","Grain.yield...bu.ac_Big6_Fre_23","Grain.yield...bu.ac_Big6_Ith_23","Grain.yield...bu.ac_Big6_Laf_23","Grain.yield...bu.ac_Big6_Mas_23","Grain.yield...bu.ac_Big6_Prn_23","Grain.yield...bu.ac_Big6_Urb_23","Grain.yield...bu.ac_Big6_Vin_23","Grain.yield...bu.ac_Big6_Woo_23","Heading.time...Julian.date_Big6_Laf_23","Heading.time...Julian.date_Big6_Mas_23","Heading.time...Julian.date_Big6_Prn_23","Heading.time...Julian.date_Big6_Scb_23","Heading.time...Julian.date_Big6_Urb_23","Heading.time...Julian.date_Big6_Vin_23","Heading.time...Julian.date_Big6_Woo_23","Lodging.incidence...0.9.percentage.scale.CO_321.0001282_Big6_Ith_23","Plant.height.inches_Big6_Mas_23","Plant.height.inches_Big6_Prn_23","Plant.height.inches_Big6_Urb_23","Plant.height.inches_Big6_Woo_23"
"1","07-19334",17.53,13.68,14.31,17.56,14.2,14.48,NA,13.12,62.35,56.54,57.69,53.47,61.54,58.23,61.56,NA,59.74,101.67,107.9,70.01,76.76,93.95,111.68,120.48,NA,90.27,136.7,151.41,116.44,138.89,134.77,NA,141.65,0.43,37.35,42.73,41.07,38.93
"2","12-26004",16.11,12.86,NA,16.22,13.1,12.88,NA,12.32,61.57,58.55,NA,52.27,60.28,46.76,59.25,NA,58.44,101.68,91.14,NA,68.56,82.66,84.38,84.51,NA,68.6,131.19,147.98,110.33,131.9,129.13,NA,131.77,NA,33.54,36.85,38.26,35.8
"3","16-8048",16.36,13.69,NA,17.35,13.31,14.78,NA,12.66,61.3,56.84,NA,52.43,62.1,52.18,61.17,NA,59.91,104.13,121.97,NA,79.42,92.13,107.49,117.75,NA,108.37,134.57,150.05,114.3,135.53,133.17,NA,136.52,NA,35.55,39.5,38.86,35.2
"4","18-23760",17.21,13.27,NA,17.79,14.41,13.97,NA,13.32,62.56,56.29,NA,55.23,62.68,50.46,61.68,NA,58.55,98.38,117.25,NA,83.31,83.5,78.43,105.32,NA,92.01,134.96,151.17,116.02,137.56,134.31,NA,139.3,NA,37.48,38.41,41.26,40
"5","18-28931",14.4,12.89,NA,16.86,13.51,12.92,NA,12.4,58.16,56.78,NA,52.18,59.96,54.06,59.2,NA,52.85,99.78,112.76,NA,63,89.23,99.53,103.78,NA,92.52,136.24,151.1,113.53,138.38,132.29,NA,136.53,NA,34.49,36.9,36.41,34.44
"6","19-10123",17.16,12.64,14.2,17.88,13.48,13.64,NA,12.26,62.56,56.21,57.66,52.13,61.41,52.8,60.92,NA,58.06,97.99,93.43,69.4,70.42,89.16,94.46,94.03,NA,82.83,131.34,148.9,112.77,133.92,129.08,NA,134.69,-0.02,36.81,38.3,38.89,37.05
"7","19-12926",18.2,13.07,NA,16.79,14.19,14.71,NA,12.97,64.78,58.76,NA,52.82,61.78,56.78,63.05,NA,56.8,103.15,109.83,NA,63.83,87.16,81.23,94.38,NA,69.61,131.6,149.18,113.18,132.17,130.08,NA,135.44,NA,37.4,39.3,43.93,35.89
"8","19-13414",18.04,12.97,13.87,17.39,13.25,13.96,NA,12.98,63.73,58.91,58.29,54.28,61.14,56.7,62.84,NA,56.11,101.9,106.93,71.32,84.79,81.9,95.31,116.78,NA,85.24,134.21,150.57,115.85,135.13,134.46,NA,136.69,0.05,37.54,38.07,41.67,36.63
"9","19-13451",18.29,13.1,NA,18.2,14.5,14.53,NA,13.12,61.31,59.62,NA,52.06,59.83,53.66,61.56,NA,54.86,83.78,115.66,NA,42.72,63.38,94.99,107.92,NA,62.81,132.96,149.97,115.74,135.21,131.76,NA,135.86,NA,37.7,41.34,40.34,36.21
"10","19-13713",17.94,13.67,NA,17.95,14.1,14.25,NA,12.81,63.21,57.29,NA,51.38,61.85,57.41,62.14,NA,56.7,100.22,102.96,NA,55.93,85.79,107.51,101.24,NA,90.01,131.43,148.69,111.91,133.85,132.42,NA,134.64,NA,39.43,40.11,NA,36.86
"11","19-13978",17.06,13.09,NA,17.61,13.53,15.01,NA,12.59,63.56,59.58,NA,55.87,62.35,59.53,63.32,NA,59,101.85,95.95,NA,69.38,86.65,83.98,92.53,NA,75.54,131.17,146.72,106.43,132.47,129.48,NA,131.81,NA,36.07,39.33,38.66,35.71
"12","19-14617",16.38,12.65,NA,17.22,13.49,13.62,NA,12.75,62.04,58.35,NA,52.69,60.6,53.81,61.53,NA,55.08,94.21,100.64,NA,62.11,95.37,74.32,106.81,NA,82.02,131.28,147.83,110.28,132.89,128.09,NA,133.2,NA,36.4,35.94,40.46,35.4
"13","19-14845",15.36,12.84,NA,16.97,13.75,12.63,NA,12.46,61.05,57.39,NA,51.84,60.84,54.49,58.91,NA,57.76,105.94,100.32,NA,65.77,84.42,87.79,101.04,NA,95.83,130.96,148.27,112.49,132.62,129.67,NA,132.75,NA,33.63,38.4,41.3,37.53
"14","19-14933",16.52,12.96,13.49,17.75,13.77,13.37,NA,12.47,63,58.09,58.45,53.15,62.44,53.62,60.69,NA,57.17,103,101.67,61.5,69.74,83.11,80.71,93.45,NA,78.37,130.91,148.56,111.08,133.73,130.24,NA,131.5,0.05,38.44,37.19,44.18,38.09
"15","19-15017",17.19,12.51,NA,16.18,13.48,12.57,NA,12.14,64.6,58.52,NA,53.33,61.38,55.64,59.58,NA,55.57,97.53,109.86,NA,68.99,79.8,92.08,84.65,NA,77.58,130.24,148.05,110.61,133.66,128.58,NA,133.29,NA,34.85,39.85,39.98,35.14
"16","19-16176",15.78,12.76,NA,16.73,13.65,14.55,NA,12.31,61.02,56.9,NA,52.52,62.09,54.18,61.46,NA,57.95,100.92,107.07,NA,69.58,88.3,89.02,109.88,NA,79.9,133.41,150.19,113.8,135.7,132.81,NA,134.62,NA,34.26,37.33,38.01,34.77
"17","19-17546",16.29,12.41,NA,16.93,13.26,13.5,NA,12.22,62.04,56.34,NA,52.92,60.1,56.28,59.31,NA,55.45,93.77,89.83,NA,77,79.9,85.98,84.03,NA,97.63,130.98,147.72,116.45,132.92,128.54,NA,130.68,NA,35.87,34.91,40.07,38.59
"18","19-17662",15.43,12.58,13.31,16.8,13.88,13.45,NA,12.55,60.53,57.92,57.2,51.98,60.68,50.34,62.11,NA,56.4,99.16,103.71,73.85,66.52,83.32,78.08,98.33,NA,69.02,133.34,149.4,112.61,136.18,133.49,NA,135.14,0.95,37.46,38.48,39.66,36.1
"19","19-18153",16.44,12.21,13.32,16.97,13.34,13.36,NA,12.65,62.05,58.62,56.88,50.87,61.92,54.75,61.83,NA,55.98,95.04,107.24,66.29,61.96,88.57,76.41,110.83,NA,78.59,134.06,150.51,112.06,136.22,133.39,NA,135.69,-0.1,35.59,38.5,39.7,36.21
"20","19-18156",16.32,13.06,13.93,17.56,13.49,13.32,NA,12.95,62.34,59.37,58.05,54.39,62.55,54.09,61.59,NA,58.27,102.76,106.99,73.54,83.73,91.2,81.84,113.5,NA,86.52,134.46,150.4,118.99,137.36,134.83,NA,138.72,0,35.72,35.68,38.31,36.03
"21","19-18725",16.13,13.21,NA,17.19,13.39,14.72,NA,12.39,61.77,58.16,NA,52.65,60.8,55.01,62.06,NA,56.12,108.16,115.51,NA,74.33,88.39,93.63,109.76,NA,83.62,133.2,150.04,111.62,134.61,131.96,NA,135.5,NA,33.55,34.42,34.27,34.47
"22","19-18826",16.57,12.78,14,17.71,13.69,14.47,NA,12.45,62.29,59.02,57.37,52.61,61.62,49.94,62.24,NA,58.04,90.92,101.11,62.31,70.22,81.86,101.94,93.56,NA,81.68,134.28,149.55,113.41,135.9,131.6,NA,135.91,0.5,34.9,37.78,36.78,34.09
