"","germplasmName","predicted.value","std.error","status","trait","study","rel"
"1","07-19334",101.670013522332,3.80529174210879,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"2","12-26004",101.677672538355,4.1162130059143,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"3","16-8048",104.133656934545,4.57331853979222,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"4","18-23760",98.3784698342758,4.32614932785293,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"5","18-28931",99.7843280461484,4.48963471125107,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"6","19-10123",97.9903114270149,3.62555569862671,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"7","19-12926",103.146675606672,4.50352965825786,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"8","19-13414",101.895322870959,3.65369133842242,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"9","19-13451",83.7823559038383,4.4763525595785,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"10","19-13713",100.215149820303,4.07866145187394,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"11","19-13978",101.845916793007,4.58459425270803,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"12","19-14617",94.21280170635,4.56064588202227,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"13","19-14845",105.938430547038,4.04495967520576,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"14","19-14933",103.001563232022,3.64435209236371,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"15","19-15017",97.5271454966734,4.27782185017382,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"16","19-16176",100.917314560112,4.32052478109143,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"17","19-17546",93.7707101290066,4.72684693783171,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"18","19-17662",99.1623118144593,3.77919365233745,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"19","19-18153",95.0404644492936,3.63537751399104,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"20","19-18156",102.758121692519,3.50070996199395,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"21","19-18725",108.15819588946,4.04114780231923,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"22","19-18826",90.9184755992825,3.52471244845624,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"23","19-18837",91.6448594655368,3.44922541781861,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"24","19-18957",95.7772959911223,4.16845689875335,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"25","19-19205",93.7252963315902,4.78625423261442,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"26","19-20348",98.0230505602729,3.72236492991783,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"27","19-21467",106.309684612141,4.08887639798436,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"28","19-21760",99.7101994578909,3.68587222518866,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"29","19-21848",92.1395228874525,3.66735375498448,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"30","19-22757",96.0437526682754,3.44418133768411,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"31","19-23855",91.0204014918282,4.30772401938855,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"32","19-25469",96.9501512737161,4.20658021508309,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"33","19-26456",95.1612769827234,4.36857924078772,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"34","19-26709",96.2061372178158,3.60090389255879,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
