"","germplasmName","Grain.moisture.content._Big6_Fre_23","Grain.moisture.content._Big6_Laf_23","Grain.moisture.content._Big6_Mas_23","Grain.moisture.content._Big6_Urb_23","Grain.moisture.content._Big6_Vin_23","Grain.moisture.content._Big6_Woo_23","Grain.test.weight...lbs.bu_Big6_Fre_23","Grain.test.weight...lbs.bu_Big6_Laf_23","Grain.test.weight...lbs.bu_Big6_Mas_23","Grain.test.weight...lbs.bu_Big6_Prn_23","Grain.test.weight...lbs.bu_Big6_Urb_23","Grain.test.weight...lbs.bu_Big6_Vin_23","Grain.test.weight...lbs.bu_Big6_Woo_23","Grain.yield...bu.ac_Big6_Fre_23","Grain.yield...bu.ac_Big6_Laf_23","Grain.yield...bu.ac_Big6_Mas_23","Grain.yield...bu.ac_Big6_Prn_23","Grain.yield...bu.ac_Big6_Urb_23","Grain.yield...bu.ac_Big6_Vin_23","Grain.yield...bu.ac_Big6_Woo_23","Heading.time...Julian.date_Big6_Laf_23","Heading.time...Julian.date_Big6_Mas_23","Heading.time...Julian.date_Big6_Prn_23","Heading.time...Julian.date_Big6_Scb_23","Heading.time...Julian.date_Big6_Urb_23","Heading.time...Julian.date_Big6_Vin_23","Heading.time...Julian.date_Big6_Woo_23","Plant.height.inches_Big6_Mas_23","Plant.height.inches_Big6_Prn_23","Plant.height.inches_Big6_Urb_23","Plant.height.inches_Big6_Woo_23"
"1","07-19334",13.68,18.19,14.2,14.48,NA,13.12,56.54,53.47,61.54,58.23,61.56,NA,59.74,107.9,76.76,93.95,111.68,120.48,NA,90.27,136.7,151.41,116.44,138.89,134.77,NA,141.65,37.35,42.73,41.07,38.93
"2","12-26004",12.86,17.03,13.1,12.88,NA,12.32,58.55,52.27,60.28,46.76,59.25,NA,58.44,91.14,68.56,82.66,84.38,84.51,NA,68.6,131.19,147.98,110.33,131.9,129.13,NA,131.77,33.54,36.85,38.26,35.8
"3","16-8048",13.69,17.88,13.31,14.78,NA,12.66,56.84,52.43,62.1,52.18,61.17,NA,59.91,121.97,79.42,92.13,107.49,117.75,NA,108.37,134.57,150.05,114.3,135.53,133.17,NA,136.52,35.55,39.5,38.86,35.2
"4","18-23760",13.27,18.42,14.41,13.97,NA,13.32,56.29,55.23,62.68,50.46,61.68,NA,58.55,117.25,83.31,83.5,78.43,105.32,NA,92.01,134.96,151.17,116.02,137.56,134.31,NA,139.3,37.48,38.41,41.26,40
"5","18-28931",12.89,17.18,13.51,12.92,NA,12.4,56.78,52.18,59.96,54.06,59.2,NA,52.85,112.76,63,89.23,99.53,103.78,NA,92.52,136.24,151.1,113.53,138.38,132.29,NA,136.53,34.49,36.9,36.41,34.44
"6","19-10123",12.64,18.31,13.48,13.64,NA,12.26,56.21,52.13,61.41,52.8,60.92,NA,58.06,93.43,70.42,89.16,94.46,94.03,NA,82.83,131.34,148.9,112.77,133.92,129.08,NA,134.69,36.81,38.3,38.89,37.05
"7","19-12926",13.07,17.14,14.19,14.71,NA,12.97,58.76,52.82,61.78,56.78,63.05,NA,56.8,109.83,63.83,87.16,81.23,94.38,NA,69.61,131.6,149.18,113.18,132.17,130.08,NA,135.44,37.4,39.3,43.93,35.89
"8","19-13414",12.97,18.11,13.25,13.96,NA,12.98,58.91,54.28,61.14,56.7,62.84,NA,56.11,106.93,84.79,81.9,95.31,116.78,NA,85.24,134.21,150.57,115.85,135.13,134.46,NA,136.69,37.54,38.07,41.67,36.63
"9","19-13451",13.1,18.89,14.5,14.53,NA,13.12,59.62,52.06,59.83,53.66,61.56,NA,54.86,115.66,42.72,63.38,94.99,107.92,NA,62.81,132.96,149.97,115.74,135.21,131.76,NA,135.86,37.7,41.34,40.34,36.21
"10","19-13713",13.67,18.22,14.1,14.25,NA,12.81,57.29,51.38,61.85,57.41,62.14,NA,56.7,102.96,55.93,85.79,107.51,101.24,NA,90.01,131.43,148.69,111.91,133.85,132.42,NA,134.64,39.43,40.11,4339.43,36.86
