"","germplasmName","predicted.value","std.error","status","trait","study","rel"
"1","07-19334",100.126822229913,3.64962425610819,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"2","12-26004",101.12418881814,4.0871261023702,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"3","16-8048",102.63135764326,4.55287181213095,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"4","18-23760",97.1083477477979,4.24820225344561,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"5","18-28931",100.976165138077,4.43958877530803,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"6","19-10123",97.8757973425964,3.48736063510971,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"7","19-12926",103.642221049663,4.37118569458025,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"8","19-13414",101.185462633228,3.49722606977866,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"9","19-13451",83.1638483823293,4.44080575501022,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"10","19-13713",99.5773316836672,4.02016621240483,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"11","19-13978",100.769665668834,4.55253650999325,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"12","19-14617",93.195153034701,4.54944377528489,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"13","19-14845",106.93828093091,4.01357981520123,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"14","19-14933",101.692513421703,3.4837284553369,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"15","19-15017",96.6346870122522,4.25219333218403,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"16","19-16176",102.525875766802,4.29510082375838,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"17","19-17546",93.3165610110601,4.61645184046898,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"18","19-17662",99.6514212486621,3.63848217789293,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"19","19-18153",94.2882054925042,3.47450907925458,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"20","19-18156",101.917585701204,3.36348228591257,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"21","19-18725",107.585494004355,3.99332128940036,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"22","19-18826",89.8957457791437,3.37871799890648,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"23","19-18837",90.9457892163594,3.30679382200229,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"24","19-18957",95.907126269975,4.09084689720804,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"25","19-19205",93.8542650408466,4.65875140360441,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"26","19-20348",93.7705751406584,3.55797559391897,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"27","19-21467",105.81904313926,4.02741696622067,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"28","19-21760",98.8546485281558,3.52153564770795,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"29","19-21848",92.6247476484112,3.51149565438154,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"30","19-22757",99.4595242125099,3.28547040709868,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"31","19-23855",90.2275336769899,4.26550777688754,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"32","19-25469",96.4278172865231,4.20052032218748,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"33","19-26456",94.3312822037823,4.36205727482657,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"34","19-26709",97.5562556510699,3.45653271870422,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"35","19-27565",97.2440620397982,3.54113495635001,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"36","19-4151",95.7674144973593,3.43013197656269,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"37","19-5122",98.1660739547606,3.41364355380542,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"38","19-5632",99.5457783664231,3.34947227024047,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"39","19-6637",93.9687344734827,3.50423840953533,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"40","19-6946",103.857740829562,3.48955589465413,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"41","2020-10001",100.968544390093,4.13107329372651,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"42","2020-10275",96.6940681623475,4.18486415857805,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"43","2020-10322",95.47387859964,4.01548603036645,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"44","2020-10415",101.8478694755,4.45845721860997,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"45","2020-10435",95.4238301272463,4.00617939081797,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
"46","2020-10630",90.647571660889,4.41169863644739,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.719484779611076
