"","germplasmName","Urb_23","Prn_23","Woo_23","Mas_23","Laf_23","Vin_23"
"1","07-19334",134.93,116.83,141.08,151.38,137.12,126.96
"2","12-26004",129.29,110.07,131.83,148.23,130.87,119.07
"3","16-8048",132.97,114.12,136.49,150.11,134.74,123.77
"4","18-23760",134.28,115.99,139.07,151.04,135.9,125.8
"5","18-28931",133.03,113.62,136.65,150.87,136.06,124.49
"6","19-10123",129.95,112.4,134.43,148.94,131.52,120.74
"7","19-12926",130.6,112.63,134.91,149.18,131.91,121.12
"8","19-13414",133.74,115.26,136.79,150.49,134.57,124.31
"9","19-13451",132.06,114.51,135.85,149.9,133.46,123.02
"10","19-13713",131.64,112.21,134.54,149.02,132.15,121.6
"11","19-13978",129.28,108.45,131.62,147.48,130.75,118.54
"12","19-14617",129.08,110.39,132.83,148.16,130.99,119.28
"13","19-14845",129.91,111.66,132.8,148.48,131.06,119.96
"14","19-14933",130.14,110.76,131.84,148.65,131.08,119.97
"15","19-15017",129.39,110.71,132.98,148.34,130.6,119.59
"16","19-16176",132.54,113.27,135.03,150.1,133.87,123.09
"17","19-17546",129.22,113.28,131.47,148,130.6,119.46
"18","19-17662",132.84,112.93,135.27,149.58,133.69,123.05
"19","19-18153",133.03,112.51,135.79,150.44,134.41,123.56
"20","19-18156",134.4,117.93,138.67,150.46,135.04,125.69
"21","19-18725",131.95,112.12,135.36,149.95,133.57,122.49
"22","19-18826",131.91,113.34,135.81,149.64,134.2,122.84
"23","19-18837",132.97,115.75,138.14,150.51,135.2,124.51
"24","19-18957",128.9,110.02,130.73,148.27,130.79,118.86
"25","19-19205",131.1,110.35,134.85,149.37,132.75,121.22
"26","19-20348",131.63,113.01,135.9,149.16,133.57,122.24
"27","19-21467",132.87,113.78,136.56,150.67,134.78,124.17
"28","19-21760",132.17,116.24,134.73,149.2,131.98,122.6
"29","19-21848",130.68,112.04,133.82,149.24,131.8,121.02
"30","19-22757",130.94,111.5,134.16,149.55,131.33,121.02
"31","19-23855",131.6,113.86,134.56,149.22,132.73,122.16
"32","19-25469",131,111.63,133.22,149.05,131.7,121.01
"33","19-26456",131.72,111.66,133.9,149.38,132.66,121.86
"34","19-26709",129.26,110,132.37,147.55,130.73,118.93
"35","19-27565",132.47,113.82,137.4,150.78,134.35,123.96
"36","19-4151",131.37,112.77,134.31,149.87,132.01,121.81
"37","19-5122",131.71,113,135,149.83,133,122.16
"38","19-5632",131.31,115.83,136.27,149.07,132.46,122.42
"39","19-6637",133.94,113.79,138.18,151.08,136.43,125.16
"40","19-6946",132.51,114,133.3,149.53,134.61,122.97
"41","2020-10001",132.82,116.82,137.28,149.38,133.94,123.97
"42","2020-10275",131.01,111.2,133.17,149.11,133.6,121.03
"43","2020-10322",132.33,113.74,135.44,149.32,133.94,122.8
"44","2020-10415",129.77,110.74,133.89,149.03,132.16,120.47
"45","2020-10435",131.79,112.73,135.41,149.14,133.12,122.06
"46","2020-10630",131.21,114.13,134.91,149.06,132.25,121.71
"47","2020-11426",131.28,110.96,134.18,149.67,132.47,121.29
"48","2020-12650",132.57,113.72,135.83,150.53,135,123.74
"49","2020-12665",131.54,112.29,135.02,149.21,132.56,121.74
"50","2020-13902",130.78,109.58,133.11,149.09,131.51,120.48
"51","2020-14116",133.07,112.36,135.83,150.21,135.84,123.72
"52","2020-15256",132.51,114.38,134.95,149.4,132.24,122.56
"53","2020-15726",134.4,118.81,140.19,150.91,135.84,126.47
"54","2020-16035",129.97,110.78,133.28,148.41,131.72,120.04
"55","2020-16102",130.6,111.57,131.83,149.13,131.26,120.53
"56","2020-2010",130.06,111.42,133.48,148.92,131.2,120.53
"57","2020-2101",128.74,109.95,130.9,147.93,130.45,118.32
"58","2020-2334",129.63,109.91,133.48,149.21,131.69,120.21
"59","2020-2749",131.16,111.38,133.42,149.28,132.06,121.19
"60","2020-2864",129.94,112.62,132.8,148.45,131.37,120.13
"61","2020-40034",131.73,113.13,135.83,149.34,133.38,122.45
"62","2020-5376",129.89,110.59,134.12,148.53,131.44,120.02
"63","2020-6205",131.04,112.09,134.76,149.7,131.95,121.61
"64","2020-6254",131.19,113.82,135.13,149.71,132.25,121.99
"65","2020-6435",129.67,110.83,132.81,148.92,131.51,119.97
"66","2020-7021",132.39,114.17,136.46,149.35,133.69,122.81
"67","2020-7719",130.79,110.91,134.02,148.59,132.51,120.85
"68","2020-7737",129.46,110.64,132.35,148.31,130.95,119.42
"69","2020-7917",129.46,108.55,132.85,148.33,130.88,119.09
"70","2020-9801",130.51,113.1,134.79,149.69,133.43,121.56
"71","2020-9945",132.85,113.87,136.58,150.05,133.2,123.46
"72","20PU-0001",134.03,113.65,136.07,150.76,135.3,124.6
"73","21PU-0015",137.06,118.67,142.01,152.13,141.58,129.63
"74","21PU-0026",135.57,116.32,140.22,151.21,138.7,127.36
"75","21PU-0030",134.79,119.01,138.75,150.95,137.72,126.63
"76","21PU-0033",135.97,119.13,140.7,151.83,138.24,127.77
"77","21PU-0040",133.96,116.86,137.82,150.89,137.47,125.85
"78","21PU-0042",133.91,113.16,136.46,151.42,137.51,125.34
"79","21PU-0046",134.66,116.02,139.99,151.81,138.04,126.8
"80","21PU-0051",133.98,114.97,138.05,151,136.53,125.36
"81","21PU-0058",134.69,116.53,138.85,151.54,137.03,126.41
"82","21PU-0071",135.29,116.54,140.59,151.85,140.43,127.49
"83","21PU-0072",134.53,114.68,137.9,151.17,136.62,125.73
"84","21PU-0104",133.19,114.53,137.12,150.28,134.84,124.3
"85","21PU-0154",134.89,119.53,139.39,150.9,139.41,127.34
"86","21PU-0163",136.08,116.81,141.34,152.5,140.59,128.79
"87","21PU-0165",133.98,115.54,136.95,150.58,137.03,125.07
"88","21PU-0176",134.7,116.39,139.26,150.96,137.06,126.39
"89","21PU-0183",137.24,118.73,142.11,152.22,142.17,129.87
"90","21PU-0185",134.26,116.66,137.97,151.37,136.58,125.9
"91","21PU-0280",133.78,114.22,136.73,151.7,135.38,124.9
"92","21PU-0282",133.86,114.59,137.75,151.44,135.19,125.17
"93","21PU-0285",133.84,113.95,136.81,151.48,135.58,125.1
"94","21PU-0286",134.03,114.13,137.54,151.6,136.28,125.4
"95","21PU-0288",133.8,114.56,137.43,150.94,136.34,125.12
"96","21PU-0291",135.35,116.94,139.61,151.19,138.06,127.28
"97","21PU-0292",133.9,114.18,136.93,151.34,135.74,125.2
"98","21PU-0293",134.13,115.33,137.98,151.66,135.48,125.67
"99","21PU-0294",134.4,115.58,138.36,151.66,136.45,125.96
"100","21PU-0298",134.26,114.68,137.56,151.49,136.28,125.7
"101","21PU-0344",134.31,114.78,138.26,150.93,135.83,125.39
"102","21PU-0467",133.71,114.07,138.78,150.64,135.78,125.07
