"","germplasmName","Urb_23","Prn_23","Woo_23","Mas_23"
"1","07-19334",41.16,41.47,38.77,37.43
"2","12-26004",38.17,37.08,35.3,33.9
"3","16-8048",38.98,38.48,35.91,35.46
"4","18-23760",41.03,39.48,38.99,37.57
"5","18-28931",37.26,36.7,34.69,34.3
"6","19-10123",39.26,38.4,36.96,36.6
"7","19-12926",41.87,39.45,37.16,37.29
"8","19-13414",41.04,38.62,37.07,37.32
"9","19-13451",40.48,40.04,37.29,37.32
"10","19-13713",41.17,39.85,37.92,38.65
"11","19-13978",38.94,38.48,36.22,35.85
"12","19-14617",39.69,37.23,35.97,36.11
"13","19-14845",39.94,38.48,36.55,34.32
"14","19-14933",42.65,38.77,38.18,38.33
"15","19-15017",39.48,38.7,35.91,35.05
"16","19-16176",38.07,37.17,35.06,34.31
"17","19-17546",39.56,37.21,37.03,35.95
"18","19-17662",39.78,38.5,36.64,37.13
"19","19-18153",39.51,38.39,36.33,35.61
"20","19-18156",38.45,36.62,35.84,35.56
"21","19-18725",35.77,35.18,34.01,33.36
"22","19-18826",37.42,37.23,34.7,34.68
"23","19-18837",40.62,39.65,36.09,35.57
"24","19-18957",38.05,37.1,34.13,34.9
"25","19-19205",34.59,33.91,33,32.55
"26","19-20348",39.6,39.75,36.71,35.46
"27","19-21467",40.87,38.29,37.72,39.3
"28","19-21760",36.71,36.63,33.48,33.67
"29","19-21848",37.61,37.6,34.64,33.4
"30","19-22757",38.63,38.01,36.2,36.05
"31","19-23855",39.51,40.21,37.9,36.54
"32","19-25469",40.32,38.45,36.72,35.6
"33","19-26456",37.02,36.28,34.18,34.62
"34","19-26709",39.87,36.57,35.55,34.96
"35","19-27565",41.36,39.75,38.54,37.87
"36","19-4151",40.2,38.69,36.97,37.55
"37","19-5122",39.69,38.55,36.95,36.93
"38","19-5632",38.18,38.06,36.25,35.1
"39","19-6637",40.11,39.21,36.42,35.04
"40","19-6946",40.56,38.28,36.76,35.22
"41","2020-10001",39.12,36.19,34.56,35.44
"42","2020-10275",41.19,40.05,37.53,37.15
"43","2020-10322",39.01,37.86,34.97,34.28
"44","2020-10415",36.99,34.84,33.16,32.5
"45","2020-10435",36.76,35.81,34.84,33.99
"46","2020-10630",40.08,38.5,36.35,35.74
"47","2020-11426",40.26,40.1,38.03,36.82
"48","2020-12650",40.41,38.07,36.2,34.65
"49","2020-12665",39.62,38.18,37.64,37.74
"50","2020-13902",42.62,40.65,37.9,38.51
"51","2020-14116",39.08,37.49,35.89,36.47
"52","2020-15256",40.73,39.57,37.99,38.53
"53","2020-15726",38.57,37.37,35.1,33.29
"54","2020-16035",39.91,39.73,37.77,36.4
"55","2020-16102",39.14,38.15,36.99,36.79
"56","2020-2010",38.43,37.6,34.64,35.55
"57","2020-2101",36.92,34.99,34.43,34.37
"58","2020-2334",40.64,38.48,36.2,36.51
"59","2020-2749",39.56,38.78,35.27,33.47
"60","2020-2864",37.18,37.45,34.94,34.81
"61","2020-40034",39.37,37.97,36.24,35.27
"62","2020-5376",38.67,38.21,35.26,34.73
"63","2020-6205",37.36,36.95,34.52,35.06
"64","2020-6254",35.5,34.72,32.89,32.32
"65","2020-6435",39.28,37,35.65,34.35
"66","2020-7021",41.56,40.86,38.82,38
"67","2020-7719",40.71,38.25,36.16,36.71
"68","2020-7737",37.68,36.26,35.72,34.66
"69","2020-7917",39.1,38.52,35.52,34.9
"70","2020-9801",38.89,37.86,35.85,35.24
"71","2020-9945",35.57,35.43,33.55,31.5
"72","20PU-0001",35.93,35.3,34.23,33.73
"73","21PU-0015",38.42,37.68,35.98,34.12
"74","21PU-0026",38.83,38.07,36.16,35.66
"75","21PU-0030",40.71,39.46,38.25,36.7
"76","21PU-0033",37.91,37.14,35.59,33.95
"77","21PU-0040",38.12,36.02,35.62,35.4
"78","21PU-0042",37.6,37.19,35.1,33.17
"79","21PU-0046",43.54,41.17,38.34,39.89
"80","21PU-0051",39.8,38.72,37.01,36.41
"81","21PU-0058",41.24,39.54,36.83,36.3
"82","21PU-0071",36.23,36.76,34.72,34.35
"83","21PU-0072",39.94,40.3,37.77,37.35
"84","21PU-0104",37.29,36.28,34.11,33.15
"85","21PU-0154",40.89,39.33,37.55,36.19
"86","21PU-0163",36.47,35.53,33.18,31.45
"87","21PU-0165",37.46,38.58,35.68,35.79
"88","21PU-0176",38.57,37.54,35.62,34.78
"89","21PU-0183",36.3,35.36,33.05,31.82
"90","21PU-0185",36.17,35.32,33.03,32.42
"91","21PU-0280",37.71,35.47,35.24,34.42
"92","21PU-0282",38.09,37.59,36.04,33.31
"93","21PU-0285",38.02,36.95,34.88,34.18
"94","21PU-0286",37.42,36.13,34.42,32.56
"95","21PU-0288",37.98,35.14,33.93,31.7
"96","21PU-0291",39.04,38,36.17,35.4
"97","21PU-0292",38.29,37.14,35.05,34.64
"98","21PU-0293",38.96,36.16,34.53,32.84
"99","21PU-0294",37.4,36.66,34.94,32.88
"100","21PU-0298",37.54,36.47,34.29,33.58
"101","21PU-0344",39.67,39.05,36.03,35.31
"102","21PU-0467",39.34,39.66,36.19,34.66
"103","21PU-0502",37.54,36.05,34.1,32.77
"104","21PU-0507",37.54,37.43,34.88,34.27
"105","21PU-0524",37.69,36.86,35.18,34.48
"106","21PU-0532",38.24,36.49,36.38,35.43
"107","21PU-0561",41.02,40.51,38.57,36.58
"108","21PU-0645",35.64,34.3,31.37,31.71
"109","21PU-0648",37.4,37.57,34.46,33.37
"110","21PU-0673",37.11,37.04,34.56,33.13
"111","21PU-0674",39.35,38.09,36.12,36.14
"112","2201",38.01,37.18,35.18,34.54
"113","2202",37.68,36.56,35.12,33.79
"114","2203",37.4,38.95,36.43,36.1
"115","2204",38.09,36.62,36.23,34.01
"116","2205",36.59,34.98,33.87,34.27
"117","2206",41.19,38.73,36.55,34.95
"118","2207",39.03,36.73,35.35,35.36
"119","2208",36.27,34.88,32.55,32.14
"120","2209",37.99,35.46,34.5,34.54
"121","2210",39.59,39.06,37.47,36.69
"122","2211",39.2,37.31,34.99,34.82
"123","2212",38.77,38.2,35.88,36.52
"124","2213",37.36,38.06,34.2,33.6
"125","2214",38.12,35.78,35.02,34.2
"126","2215",38.14,37.73,34.69,33.6
"127","2216",40.94,38.38,37.22,36.67
"128","2217",36.73,35.36,33.24,33.16
"129","2218",35.27,33.96,31.43,32.02
"130","2219",39,37.77,35.93,34.1
"131","2220",36.52,36.26,33.84,32.77
"132","2221",36.77,36.7,34.17,33.17
"133","2222",41.9,41.35,40.25,39.84
"134","2223",37.52,36.02,34.72,34.88
"135","2224",43.09,42.26,38.96,40.23
"136","2225",37.73,37.52,33.57,33.03
"137","2226",34.78,34.25,32.81,32.89
"138","2227",39.03,37.32,34.67,34.34
"139","2228",37.36,36.61,34.29,33.93
"140","2229",38.15,36.77,34.85,33.94
"141","2230",39.34,38.66,36.11,36.47
"142","2231",39.47,37.05,33.5,32.66
"143","2232",37.4,36.81,34.58,33.39
"144","2233",37.45,34.83,34.29,34.49
"145","2234",38.94,37.66,35.51,34.92
"146","2235",36.59,35.89,37.3,33.59
"147","2236",39.31,37.79,37.03,35.52
"148","2237",36.68,34.34,34.02,32.73
"149","2238",41.32,41.19,38.51,36.75
"150","2239",36.41,36.05,33.58,32.16
"151","2240",37.61,33.46,33.69,33.36
"152","2241",42.74,41.42,37.95,36.79
