"","germplasmName","Fre_23","Urb_23","Fra_23","Prn_23","Woo_23","Mas_23","Laf_23","Vin_23"
"1","07-19334",57.43,61.47,62.26,56.44,58.01,61.74,53.19,57.5
"2","12-26004",57.45,59.38,61.05,51.16,57.08,60.56,52.36,56.9
"3","16-8048",57.35,61.1,61.52,53.4,57.71,61.87,52.66,57.01
"4","18-23760",57.35,61.68,62.63,53.04,58.02,62.49,53.87,57.39
"5","18-28931",56.62,58.95,58.55,53.4,55.75,59.84,51.91,55.94
"6","19-10123",56.71,60.83,62.34,53.28,57.44,61.57,52.35,56.13
"7","19-12926",58.28,62.59,63.94,55.43,57.99,62.23,53.17,58.12
"8","19-13414",58.73,62.55,63.33,55.78,57.77,61.68,53.84,59.02
"9","19-13451",58.18,61,60.82,53.72,56.94,60.36,52.48,57.98
"10","19-13713",57.31,61.77,62.81,55.29,57.53,61.95,52.33,56.74
"11","19-13978",59.64,63.21,63.35,56.8,58.7,62.55,54.77,60.48
"12","19-14617",57.8,61.12,61.64,53.87,57.13,60.96,52.73,57.55
"13","19-14845",56.98,59.22,60.87,53.87,56.98,60.84,52.1,56.3
"14","19-14933",57.88,61,62.86,53.97,57.78,62.36,53.15,57.52
"15","19-15017",57.71,60.13,63.49,54.74,57.44,61.68,53.06,57.2
"16","19-16176",57.41,61.31,61.31,54.11,57.54,61.83,52.71,57.13
"17","19-17546",56.8,59.45,61.34,54.46,56.73,60.51,52.48,56.28
"18","19-17662",57.71,61.6,60.6,51.87,57.09,60.85,52.39,57.47
"19","19-18153",57.49,61.5,61.96,54.35,57.2,61.77,51.95,56.73
"20","19-18156",58.98,61.74,62.39,54.34,58.23,62.4,53.99,59.23
"21","19-18725",57.89,61.54,61.53,54.37,57.31,61.09,52.79,57.77
"22","19-18826",58.43,61.95,62.15,51.78,57.81,61.69,52.93,58.26
"23","19-18837",58.01,61.93,61.78,55.73,57.71,61.61,53.4,58.23
"24","19-18957",57.18,59.86,61.87,52.26,56.87,60.92,53.01,56.74
"25","19-19205",56.82,61.71,62.36,54.87,57.61,62.16,53.07,56.57
"26","19-20348",57.34,61.22,61.14,52.8,57.59,61.19,52.9,57.29
"27","19-21467",56.67,59.72,61.19,52.99,57.03,61.23,52.07,55.89
"28","19-21760",57.08,60.28,60.78,54.55,56.77,60,52.24,56.8
"29","19-21848",57.3,61.29,62.52,54.8,57.54,61.64,52.88,57.02
"30","19-22757",59.29,62.96,62.15,54.3,57.55,62.58,53.78,59.4
"31","19-23855",57.24,61.81,63.34,55.08,57.78,62.49,52.74,56.73
"32","19-25469",58.73,61.48,61.31,54.77,58.02,61.52,53.51,59.04
"33","19-26456",57.66,60.72,61.98,54.83,57.68,61.62,52.96,57.45
"34","19-26709",57.68,61.8,61.46,53.87,57.45,61.34,52.52,57.45
"35","19-27565",58.53,62.16,61.98,55.56,58.06,62.17,53.79,58.84
"36","19-4151",57.83,60.46,62.17,54.1,57.61,61.61,52.8,57.48
"37","19-5122",58.8,62.67,61.63,55.79,58.19,62.23,53.71,59.22
"38","19-5632",58.14,61.97,62.32,55.24,57.89,61.89,53.27,58.18
"39","19-6637",58.71,63.16,62.83,54.91,58.65,62.65,53.78,59.11
"40","19-6946",57.78,60.91,61.13,54.19,57.05,60.83,52.81,57.62
"41","2020-10001",57.53,62.48,63.48,54.39,58.1,62.73,53.23,57.31
"42","2020-10275",57.11,60.73,61.7,53.93,57.12,61.59,52.97,56.73
"43","2020-10322",57.7,59.57,60.71,52.76,56.99,60.56,52.57,57.31
"44","2020-10415",56.48,59.22,59.57,53.44,56.31,60.1,51.71,55.75
"45","2020-10435",57.44,60.64,61.01,54.67,57.22,61.15,52.55,57.12
"46","2020-10630",56.79,60.79,62.5,53.62,57.58,61.83,52.81,56.34
"47","2020-11426",56.43,60.38,61.07,54.09,57.01,61.02,51.55,55.61
"48","2020-12650",58.15,61.39,62.42,53.02,57.75,61.87,53.34,58.03
"49","2020-12665",58.1,61.52,61.74,54.88,57.42,61.31,52.86,57.97
"50","2020-13902",57.91,61.55,61.36,54.44,57.41,60.72,52.85,57.96
"51","2020-14116",57.03,59.23,59.73,52.6,56.1,59.93,51.53,56.15
"52","2020-15256",57.27,60.49,60.42,54.95,57.37,61.88,52.76,56.95
"53","2020-15726",57.66,61.04,61.92,54.4,57.4,61.56,52.85,57.36
"54","2020-16035",57.93,61.14,61.46,53.66,57.81,61.2,52.79,57.87
"55","2020-16102",57.51,61.64,62.48,54.3,57.64,61.9,53.04,57.28
"56","2020-2010",57.2,58.74,60.89,53.29,57.09,61.01,52.36,56.54
"57","2020-2101",56.69,59.68,61.76,50.96,56.9,60.68,52.53,56.08
"58","2020-2334",56.98,60.22,60.38,54.44,56.46,60.05,52.12,56.55
"59","2020-2749",58.62,62.76,63.82,56.03,58.18,62.57,53.87,58.77
"60","2020-2864",56.93,60.83,61.72,55.01,57.12,61.14,52.18,56.39
"61","2020-40034",56.07,61.8,61.38,54.27,56.96,60.82,52.07,55.66
"62","2020-5376",57.68,60.99,61.26,53.32,57.32,61.12,52.5,57.36
"63","2020-6205",58.29,60.85,61.6,55.41,57.19,60.59,52.93,58.25
"64","2020-6254",57.69,60.76,60.81,53.36,57.33,61.02,52.93,57.6
"65","2020-6435",57.56,61.38,60.27,52.97,56.65,60.11,52.43,57.41
"66","2020-7021",56.51,59.68,61.09,54.55,56.7,60.85,52.01,55.75
"67","2020-7719",57.61,59.98,62.02,52.11,57.38,61.11,52.53,57.07
"68","2020-7737",57.13,60.43,61.59,53.42,57.03,60.66,52.29,56.65
"69","2020-7917",59.04,61.24,62.88,55.56,57.89,61.49,53.04,58.94
"70","2020-9801",57.93,62.19,62.42,54.55,57.88,62.13,53.29,57.91
"71","2020-9945",57.74,60.26,59.76,54.94,57.11,59.98,52.6,57.82
"72","20PU-0001",56.45,58.56,60.9,52.77,56.64,60.73,51.69,55.4
"73","21PU-0015",57.2,58.54,58.15,53.06,56.52,59.62,51.48,56.62
"74","21PU-0026",57.39,61.33,60.31,52.67,57.09,60.98,52.04,56.97
"75","21PU-0030",53.83,55.3,56.91,50.67,54.59,57.71,50.12,51.92
"76","21PU-0033",57.47,59.81,60.58,55.52,57.57,61.81,53.3,56.73
"77","21PU-0040",58.75,60.55,61.47,54,57.83,61.7,53.39,58.75
"78","21PU-0042",58.67,59.98,61.42,54.89,58.04,62.2,53.49,58.6
"79","21PU-0046",55.88,59.09,61.19,52.13,56.58,61.1,51.77,54.76
"80","21PU-0051",55.5,58.48,59.42,52.9,56.14,60.27,51.1,54.32
"81","21PU-0058",55.16,59.91,60.46,53.58,56.36,60.76,51.45,54.16
"82","21PU-0071",55.88,59.13,59.39,53.41,56.39,60.51,51.8,55.12
"83","21PU-0072",59.21,61.1,61.2,55.12,58.21,61.65,53.96,59.71
"84","21PU-0104",56.45,57.87,58.31,52.73,55.87,59.03,51.46,55.7
"85","21PU-0154",57.73,60.77,61.26,54.48,57.26,61.2,52.38,57.74
"86","21PU-0163",55.24,56.57,56.87,54.26,55.54,58.31,50.58,54.26
"87","21PU-0165",56.17,59.17,58.25,51.88,56.05,59.55,51.2,56.31
"88","21PU-0176",57.23,58.27,57.19,52.96,56.34,59.38,51.71,56.83
"89","21PU-0183",55.81,58.79,60.23,53.05,56.28,60.38,51.12,54.61
"90","21PU-0185",56.82,58.39,58.38,53.94,56.02,59.52,52.13,56.63
"91","21PU-0280",55.93,57.28,57.87,51.98,55.86,59.1,51.92,55.41
"92","21PU-0282",57.24,58.73,58.04,53.16,56.41,59.75,52.26,56.96
"93","21PU-0285",57.72,58.56,58.36,53.13,56.47,59.06,52.46,57.67
"94","21PU-0286",58.74,57.83,58.13,52.32,56.83,58.93,52.31,58.68
"95","21PU-0288",56.3,58.34,58.24,52.75,55.98,59.23,51.62,55.68
"96","21PU-0291",56.06,58.83,60.54,53.09,56.32,60.11,51.52,55.09
"97","21PU-0292",56.21,58.16,58.34,52.84,56.04,59.49,51.7,55.54
"98","21PU-0293",57.32,57.77,57.98,53.33,56.1,58.89,52.15,56.3
"99","21PU-0294",55.86,56.98,58.02,52.74,55.78,59.27,51.92,55.15
"100","21PU-0298",58.8,59.19,58.51,53.46,56.76,59.48,52.49,58.8
"101","21PU-0344",57.38,58.4,58.55,54.95,55.81,59.16,51.73,56.96
"102","21PU-0467",58.08,59.91,60.35,54.31,57.14,60.64,52.55,58.35
"103","21PU-0502",55.97,56.32,57.72,52.17,55.57,58.96,50.09,54.43
"104","21PU-0507",55.78,57.63,58.28,52.7,55.82,59.09,51.16,54.85
"105","21PU-0524",55.89,58.56,59.02,52.34,56.44,60.01,52.12,55.35
"106","21PU-0532",57.35,60.38,59.74,52.95,56.53,60.36,52.3,56.97
"107","21PU-0561",57.85,60.37,60.28,53.28,57.5,61.2,53.01,57.81
"108","21PU-0645",57.28,59.9,59.14,53.9,56.97,60.53,52.42,57.09
"109","21PU-0648",56.57,59.25,59.46,53.55,56.66,60.34,52.15,56.1
"110","21PU-0673",57.83,60.01,60.4,53.6,57.12,60.98,52.85,57.49
"111","21PU-0674",57.82,61.32,62.16,54.27,57.73,62.21,52.79,57.43
"112","2201",55.49,56.61,58.18,50.99,55.41,58.73,51.54,54.05
"113","2202",57.03,60.22,62.13,56.16,57.34,61.96,52.66,56.75
"114","2203",56.06,58.4,61.55,53.69,56.82,60.54,51.61,54.74
"115","2204",57.1,60.35,60.93,53.27,57.13,60.5,52.42,56.61
"116","2205",56.56,59.63,58.45,53.44,56.21,59.75,51.46,55.55
"117","2206",56.99,58.84,58.92,52.55,56.38,59.51,51.93,56.57
"118","2207",56.72,59.26,57.7,53.79,55.95,59.13,51.9,56.56
"119","2208",55.78,57.28,59.19,52.81,55.96,59.62,51.31,55.45
"120","2209",57.39,58.76,61.01,53.75,57.21,60.51,52.44,56.77
"121","2210",55.92,58.28,60.75,53.19,56.81,60.77,51.55,54.77
"122","2211",56.31,57.87,60.11,54.7,56.16,60.02,51.6,55.36
"123","2212",57.13,61.39,62.88,54.82,57.39,62.2,51.74,56
"124","2213",57.27,59.24,60.86,54.69,57.54,61.75,53.06,56.82
"125","2214",52.77,59.56,61.14,51.17,56.28,61.62,51.62,51.41
"126","2215",57.05,58.78,58.29,53.38,56.45,59.46,51.96,56.72
"127","2216",57.13,58.11,59.08,53.46,56.24,59.53,52.38,56.71
"128","2217",59.46,63.55,62.06,55.9,58.56,62.54,54.44,60.28
"129","2218",58.18,61.4,60.94,55.25,57.34,61.26,52.82,58.11
"130","2219",56.37,58.56,60.78,53.83,56.8,60.52,52.44,55.78
"131","2220",54.18,56.67,58.24,52.14,54.73,58.63,50.63,52.68
"132","2221",55.4,59.24,61.21,54.54,56.78,61.17,51.71,54.39
"133","2222",56.96,61.11,61,52.9,57.37,62.29,52.87,56.54
"134","2223",56.47,60.22,60.94,53.27,56.96,61.27,52.17,55.8
"135","2224",55.07,57.73,59.8,53.88,55.94,59.81,51.08,53.84
