"","germplasmName","Fra_23","Fre_23","Ith_23","Laf_23","Mas_23","Prn_23","Urb_23","Vin_23","Woo_23"
"1","07-19334",101.54,113.62,70.04,75.85,88.6,105.02,116.76,67.54,94.68
"2","12-26004",95.49,99.27,63.24,66.74,79.88,88.17,89.06,57.87,77.94
"3","16-8048",103.94,117.62,71.99,78.52,91.15,104.34,116.98,70.25,103.1
"4","18-23760",99.03,111.89,68.25,77.62,85.43,90.79,106.74,66.08,91.52
"5","18-28931",99.48,110.86,68.34,65.99,86.07,97.94,106.03,65.56,92.43
"6","19-10123",96.7,102.42,65.62,69.9,83.74,94.28,96.79,60.27,86.28
"7","19-12926",97.69,106.88,65.56,64.48,81.7,88.75,98.53,62.61,81.02
"8","19-13414",100.43,112.68,68.62,80.72,85.9,96.33,113.23,66.61,89.64
"9","19-13451",90.27,105.76,62.73,48.43,75.97,89.03,102.17,61.15,71.56
"10","19-13713",98.52,107.48,67.09,60.83,84.8,99.13,102.95,63.39,90.06
"11","19-13978",96.88,102.92,65.05,68.36,82.29,90.16,95.62,60.36,83.36
"12","19-14617",96.36,106.5,66.43,64.46,83.77,87.92,104.79,62.67,86.65
"13","19-14845",100.72,108.11,67.73,67.5,85.91,94.26,103.59,63.92,92.91
"14","19-14933",97.87,104.07,65.06,68.69,81.82,87.42,96.67,60.97,82.53
"15","19-15017",95.66,104.17,64.79,67.56,81.16,91.71,92.65,60.94,82.14
"16","19-16176",99.07,110.12,67.57,69.46,84.7,93.55,108.28,64.93,87.59
"17","19-17546",94.7,99.53,64.73,73.86,83.05,91.08,91.63,58.47,89.46
"18","19-17662",96.7,106.32,65.27,66.15,81.29,86.32,99.72,62.22,79.15
"19","19-18153",96.23,108.6,66.28,63.32,82.54,86.04,107.6,63.73,83.48
"20","19-18156",101.01,111.62,68.91,80.24,86.99,91.24,111.35,66.14,91.61
"21","19-18725",102.72,113.93,69.29,73.25,86.83,96.77,110.13,67.47,91.63
"22","19-18826",93.37,102.1,64.5,69.03,81.44,96.26,95.77,59.76,83.16
"23","19-18837",93.15,106.95,64,61.88,78.25,91.53,103.22,62.16,73.09
"24","19-18957",94.64,111.45,64.24,60.43,76.81,72.59,100.65,64.62,73.66
"25","19-19205",95.43,105.51,65.53,65,82.22,85.41,100.94,61.87,86.8
"26","19-20348",98.86,109.14,68.23,77.05,86.57,96.56,105.64,64.61,94.15
"27","19-21467",102.99,115.24,70.22,71.02,88.31,94.97,113,68.45,95.49
"28","19-21760",98.19,110.7,66.81,64.36,82.78,98.78,108.79,65.01,85.51
"29","19-21848",95.1,106.44,66.04,68.71,82.93,99.91,102.32,62.52,84.37
"30","19-22757",97.14,107.96,67.01,76.77,84.41,95.88,103.43,63.62,87.22
"31","19-23855",94.05,102.29,64.87,67.91,82.16,96.25,99.34,59.97,82.93
"32","19-25469",98.63,111.51,68.24,83.2,85.56,97.72,110.57,65.87,89.97
"33","19-26456",96.55,106.19,66.43,72.25,83.89,87.65,99.15,62.51,90.16
"34","19-26709",95.64,102.82,65.06,69.41,82.35,88.61,96.34,60.31,86.22
"35","19-27565",97.55,106.43,67.58,70.17,86.31,96.4,105.45,62.99,95.03
"36","19-4151",97.11,107.76,67.16,75.27,84.82,91.57,100.49,63.56,92.12
"37","19-5122",99.53,112.14,69.17,78.43,87.33,99.43,115.1,66.49,94.33
"38","19-5632",99.03,110.16,67.93,74.63,85.48,99.94,110.23,65.07,88.25
"39","19-6637",97,112.59,67.85,67.71,84.25,99.53,108.62,66.32,88.37
