"","study","germplasmName","predicted.value","std.error","status"
"1","Pr_Neo_21","07-19334",132.230176264105,0.84508935511904,"Estimable"
"2","Pr_Neo_21","12-26004",123.46319558243,0.844347697215519,"Estimable"
"3","Pr_Neo_21","16-8048",130.166811213348,0.844410644735769,"Estimable"
"4","Pr_Neo_21","19-10123",125.27616086383,0.554224856602348,"Estimable"
"5","Pr_Neo_21","19-12926",126.234883159851,0.647756128341413,"Estimable"
"6","Pr_Neo_21","19-13414",130.077283596859,0.650382787712657,"Estimable"
"7","Pr_Neo_21","19-13451",125.976317126042,0.648256546056574,"Estimable"
"8","Pr_Neo_21","19-13713",126.455630048332,0.648381150418537,"Estimable"
"9","Pr_Neo_21","19-13978",125.477303622858,0.649599437441335,"Estimable"
"10","Pr_Neo_21","19-14617",124.288359243886,0.648166273006894,"Estimable"
"11","Pr_Neo_21","19-14845",125.333565525262,0.649446007141969,"Estimable"
"12","Pr_Neo_21","19-14933",124.144914868693,0.649776491667083,"Estimable"
"13","Pr_Neo_21","19-15017",124.7250736863,0.553463642863863,"Estimable"
"14","Pr_Neo_21","19-16176",127.686443709968,0.55261346703717,"Estimable"
"15","Pr_Neo_21","19-17546",124.542168449257,0.558199840303332,"Estimable"
"16","Pr_Neo_21","19-17662",127.869492549604,0.551510440455837,"Estimable"
"17","Pr_Neo_21","19-18153",129.111019046886,0.649282885891295,"Estimable"
"18","Pr_Neo_21","19-18156",131.164693488121,0.553398804361793,"Estimable"
"19","Pr_Neo_21","19-18725",126.08110401701,0.554931728202867,"Estimable"
"20","Pr_Neo_21","19-18826",128.651043937383,0.661217835205871,"Estimable"
"21","Pr_Neo_21","19-18837",129.836477888252,0.650023525636947,"Estimable"
"22","Pr_Neo_21","19-18957",124.159953669581,0.678344979242494,"Estimable"
"23","Pr_Neo_21","19-19205",127.175516247533,0.662002228948349,"Estimable"
"24","Pr_Neo_21","19-20348",128.262043680419,0.648800519116625,"Estimable"
"25","Pr_Neo_21","19-21467",127.684027506777,0.553985255229105,"Estimable"
"26","Pr_Neo_21","19-21760",128.202875183845,0.644170146536148,"Estimable"
"27","Pr_Neo_21","19-21848",126.330317341735,0.645771011238012,"Estimable"
"28","Pr_Neo_21","19-22757",125.666215273404,0.553259113872699,"Estimable"
"29","Pr_Neo_21","19-23855",126.976121199094,0.648910821888556,"Estimable"
"30","Pr_Neo_21","19-25469",127.346812907033,0.64360376226924,"Estimable"
"31","Pr_Neo_21","19-26456",125.644392698176,0.649928386266709,"Estimable"
"32","Pr_Neo_21","19-26709",124.80409201143,0.655666754926355,"Estimable"
"33","Pr_Neo_21","19-27565",130.08066476512,0.647964093365593,"Estimable"
"34","Pr_Neo_21","19-4151",127.228884211089,0.64966836212713,"Estimable"
"35","Pr_Neo_21","19-5122",129.27269642801,0.64602602941637,"Estimable"
"36","Pr_Neo_21","19-5632",126.246584515809,0.647169083634438,"Estimable"
"37","Pr_Neo_21","19-6637",129.236637001703,0.644687865977061,"Estimable"
"38","Pr_Neo_21","19-6946",125.766160393407,0.553230027206022,"Estimable"
"39","Pr_Neo_21","2020-10001",127.41551473618,0.940937094476149,"Estimable"
"40","Pr_Neo_21","2020-10026",127.244337220996,0.943475810083284,"Estimable"
"41","Pr_Neo_21","2020-10275",126.897238825022,0.926163730311655,"Estimable"
"42","Pr_Neo_21","2020-10322",128.771421927562,0.948352737339046,"Estimable"
"43","Pr_Neo_21","2020-10415",125.668930686565,0.943017522437411,"Estimable"
"44","Pr_Neo_21","2020-10435",127.602007272159,0.941435020354532,"Estimable"
"45","Pr_Neo_21","2020-10630",127.189204606057,0.922732180737174,"Estimable"
"46","Pr_Neo_21","2020-11134",130.134820985764,0.941504434167342,"Estimable"
"47","Pr_Neo_21","2020-11426",126.910963957057,0.944445145823288,"Estimable"
"48","Pr_Neo_21","2020-11841",126.297475334759,0.941904859764194,"Estimable"
"49","Pr_Neo_21","2020-12650",129.624222604546,0.918311007354756,"Estimable"
"50","Pr_Neo_21","2020-12665",127.801262337313,0.94623342032251,"Estimable"
"51","Pr_Neo_21","2020-13145",126.991604844796,0.920262632657355,"Estimable"
"52","Pr_Neo_21","2020-1362",125.973735701155,0.946507513436149,"Estimable"
"53","Pr_Neo_21","2020-13902",125.622802324601,0.943888511758855,"Estimable"
"54","Pr_Neo_21","2020-14116",128.976908270254,0.915300865690682,"Estimable"
"55","Pr_Neo_21","2020-1511",125.476216208267,0.938127845812597,"Estimable"
"56","Pr_Neo_21","2020-15256",129.071029678664,0.922333962715725,"Estimable"
"57","Pr_Neo_21","2020-15403",130.073506597105,0.948388740959501,"Estimable"
"58","Pr_Neo_21","2020-15429",128.145932140042,0.917312021845499,"Estimable"
"59","Pr_Neo_21","2020-15726",131.760994043304,0.923229598826653,"Estimable"
"60","Pr_Neo_21","2020-1578",128.225461046569,0.919799234469121,"Estimable"
"61","Pr_Neo_21","2020-16022",126.215245698795,0.934948552827493,"Estimable"
"62","Pr_Neo_21","2020-16035",126.125649841279,0.925171960940427,"Estimable"
"63","Pr_Neo_21","2020-16102",126.022737406209,0.944259892638347,"Estimable"
"64","Pr_Neo_21","2020-16118",127.168150767621,0.946709825107018,"Estimable"
"65","Pr_Neo_21","2020-16145",127.303765392317,0.914554250091286,"Estimable"
"66","Pr_Neo_21","2020-16641",125.1712827661,0.950811802079703,"Estimable"
"67","Pr_Neo_21","2020-17006",128.711943925168,0.9437855307918,"Estimable"
"68","Pr_Neo_21","2020-17017",129.191993294306,0.922054597856742,"Estimable"
"69","Pr_Neo_21","2020-1761",127.436799637569,0.944982593248069,"Estimable"
"70","Pr_Neo_21","2020-1847",128.412503566129,0.944165108529502,"Estimable"
"71","Pr_Neo_21","2020-1862",126.040752359739,0.94699520851705,"Estimable"
"72","Pr_Neo_21","2020-2010",126.914949136467,0.911460897245369,"Estimable"
"73","Pr_Neo_21","2020-2032",125.454870567824,0.950086996416982,"Estimable"
"74","Pr_Neo_21","2020-2068",123.59856373372,0.947138304862591,"Estimable"
"75","Pr_Neo_21","2020-2101",122.905305109438,0.917734215043262,"Estimable"
"76","Pr_Neo_21","2020-2318",124.703375882592,0.9423724322998,"Estimable"
"77","Pr_Neo_21","2020-2334",125.298592070635,0.915445114911382,"Estimable"
"78","Pr_Neo_21","2020-2749",126.711027149523,0.950147288685007,"Estimable"
"79","Pr_Neo_21","2020-2770",128.127561343619,0.945192211014823,"Estimable"
"80","Pr_Neo_21","2020-2864",126.196476720866,0.917828156407583,"Estimable"
"81","Pr_Neo_21","2020-3205",124.392108393977,0.948305258211145,"Estimable"
"82","Pr_Neo_21","2020-3234",126.36673689035,0.925486104757994,"Estimable"
"83","Pr_Neo_21","2020-3607",126.316222332297,0.913884605229514,"Estimable"
"84","Pr_Neo_21","2020-40034",127.274026653863,0.914720932161182,"Estimable"
"85","Pr_Neo_21","2020-4907",127.495607956282,0.934970028313007,"Estimable"
"86","Pr_Neo_21","2020-4951",128.648894223827,0.949969492158285,"Estimable"
"87","Pr_Neo_21","2020-5250",128.313262119057,0.945759114385141,"Estimable"
"88","Pr_Neo_21","2020-5369",124.65927047899,0.948357326891056,"Estimable"
"89","Pr_Neo_21","2020-5376",125.277264633474,0.915177431984005,"Estimable"
"90","Pr_Neo_21","2020-5416",126.156247997239,0.943647809608681,"Estimable"
"91","Pr_Neo_21","2020-5533",124.732911035607,0.927206255398693,"Estimable"
"92","Pr_Neo_21","2020-5545",124.202455778762,0.945158362233322,"Estimable"
"93","Pr_Neo_21","2020-571",127.444558487079,0.926073616052854,"Estimable"
"94","Pr_Neo_21","2020-6010",127.681741137846,0.946660795114044,"Estimable"
"95","Pr_Neo_21","2020-6205",126.998368609784,0.923175403428265,"Estimable"
"96","Pr_Neo_21","2020-6254",127.474690466744,0.948469469670877,"Estimable"
"97","Pr_Neo_21","2020-6415",126.587096289777,0.945059796672671,"Estimable"
"98","Pr_Neo_21","2020-6435",125.255986707639,0.925120669410205,"Estimable"
"99","Pr_Neo_21","2020-6633",126.501877510074,0.936737201314596,"Estimable"
"100","Pr_Neo_21","2020-7021",127.777846716284,0.941331791753643,"Estimable"
"101","Pr_Neo_21","2020-7024",129.980264317606,0.918274927864133,"Estimable"
"102","Pr_Neo_21","2020-7035",125.65477311296,0.948224212128932,"Estimable"
"103","Pr_Neo_21","2020-7369",128.365497940342,0.945521777047583,"Estimable"
"104","Pr_Neo_21","2020-7719",126.00808052884,0.922390404487667,"Estimable"
"105","Pr_Neo_21","2020-7737",125.628494265635,0.945111315251777,"Estimable"
"106","Pr_Neo_21","2020-7877",124.759718260778,0.946691972350978,"Estimable"
"107","Pr_Neo_21","2020-7917",124.770495289728,0.936534636776092,"Estimable"
"108","Pr_Neo_21","2020-8754",129.35546818454,0.937269304895862,"Estimable"
"109","Pr_Neo_21","2020-9168",124.891173267847,0.920968955538199,"Estimable"
"110","Pr_Neo_21","2020-9801",126.914111757344,0.944622243631914,"Estimable"
"111","Pr_Neo_21","2020-9828",125.402882002087,0.94591830685336,"Estimable"
"112","Pr_Neo_21","2020-9856",128.061250200742,0.914402024443009,"Estimable"
"113","Pr_Neo_21","2020-9945",129.839265833696,0.943995310294301,"Estimable"
"114","Pr_Neo_21","25R76",128.953587570851,0.941402600306464,"Estimable"
"115","Pr_Neo_21","AgriMAXX503",131.178834800467,0.941215165407259,"Estimable"
"116","Pr_Neo_21","IL16LCSDH-01-T-863-10",133.645199926622,0.868445660009176,"Estimable"
"117","Pr_Neo_21","IL16LCSDH-01-T-863-32",131.936648797619,0.859739350362829,"Estimable"
"118","Pr_Neo_21","IL16LCSDH-01-T-863-5",129.163838585749,0.85701753841963,"Estimable"
"119","Pr_Neo_21","IL16LCSDH-01-T-863-58",128.779306297035,0.865440908925066,"Estimable"
"120","Pr_Neo_21","IL16LCSDH-01-T-863-6",127.627967762814,0.872912371683903,"Estimable"
"121","Pr_Neo_21","IL16LCSDH-01-T-863-63",131.153391384047,0.866431950316453,"Estimable"
"122","Pr_Neo_21","IL16LCSDH-01-T-863-72",126.46326505438,0.864821131169047,"Estimable"
"123","Pr_Neo_21","IL16LCSDH-02-T-864-29",126.314479979695,0.865111090281474,"Estimable"
"124","Pr_Neo_21","IL16LCSDH-02-T-864-38",126.36367202643,0.852268748613043,"Estimable"
"125","Pr_Neo_21","IL16LCSDH-02-T-864-5",125.409036085696,0.913215934851802,"Estimable"
"126","Pr_Neo_21","IL16LCSDH-02-T-864-54",126.261414689809,0.868623677943383,"Estimable"
"127","Pr_Neo_21","IL16LCSDH-02-T-864-59",127.899505357195,0.88241566069803,"Estimable"
"128","Pr_Neo_21","IL16LCSDH-02-T-864-6",127.036620328346,0.929531640893602,"Estimable"
"129","Pr_Neo_21","IL16LCSDH-02-T-864-63",126.150187191213,0.85772077771026,"Estimable"
"130","Pr_Neo_21","IL16LCSDH-03-T-865-28",123.818701971502,0.857771518866681,"Estimable"
"131","Pr_Neo_21","IL16LCSDH-03-T-865-39",126.614598462939,0.8640428361917,"Estimable"
"132","Pr_Neo_21","IL16LCSDH-03-T-865-46",124.578553549442,0.867931700891085,"Estimable"
"133","Pr_Neo_21","IL16LCSDH-04-T-2659-20",130.592828364265,0.868068744128555,"Estimable"
"134","Pr_Neo_21","IL16LCSDH-04-T-2659-207",130.482000176161,0.868738079894097,"Estimable"
"135","Pr_Neo_21","IL16LCSDH-04-T-2659-212",129.730296351716,0.865397552101218,"Estimable"
"136","Pr_Neo_21","IL16LCSDH-04-T-2659-216",129.076219270812,0.8538892630633,"Estimable"
"137","Pr_Neo_21","IL16LCSDH-04-T-2659-225",127.383335207451,0.865916277407743,"Estimable"
"138","Pr_Neo_21","IL16LCSDH-04-T-2659-232",130.296003670881,0.865565308740315,"Estimable"
"139","Pr_Neo_21","IL16LCSDH-04-T-2659-3",128.733559714954,0.857272443477941,"Estimable"
"140","Pr_Neo_21","IL16LCSDH-04-T-2659-8",128.86608397157,0.872502748714402,"Estimable"
"141","Pr_Neo_21","IL16LCSDH-05-T-2660-3",125.932934931621,0.85795896797611,"Estimable"
"142","Pr_Neo_21","IL16LCSDH-06-T-2661-17",130.068010696383,0.864562448697665,"Estimable"
"143","Pr_Neo_21","IL16LCSDH-06-T-2661-19",128.811291949724,0.874618637850303,"Estimable"
"144","Pr_Neo_21","IL16LCSDH-06-T-2661-202",128.76986359547,0.863660222071539,"Estimable"
"145","Pr_Neo_21","IL16LCSDH-06-T-2661-21",127.741304424767,0.877603129608613,"Estimable"
"146","Pr_Neo_21","IL16LCSDH-06-T-2661-212",127.972800990332,0.860107265195062,"Estimable"
"147","Pr_Neo_21","IL16LCSDH-06-T-2661-39",126.445511462059,0.872591388661599,"Estimable"
"148","Pr_Neo_21","IL16LCSDH-07-T-2662-201",128.836830946461,0.854966430199084,"Estimable"
"149","Pr_Neo_21","IL16LCSDH-07-T-2662-202",130.811193829597,0.854760806681714,"Estimable"
"150","Pr_Neo_21","IL16LCSDH-07-T-2662-203",133.22937638133,0.867689934796449,"Estimable"
"151","Pr_Neo_21","IL16LCSDH-07-T-2662-22",130.765695970962,0.864949012120381,"Estimable"
"152","Pr_Neo_21","IL16LCSDH-07-T-2662-225",131.456984029262,0.863551489107726,"Estimable"
"153","Pr_Neo_21","IL16LCSDH-07-T-2662-241",132.976670532015,0.858877950097085,"Estimable"
"154","Pr_Neo_21","IL16LCSDH-08-T-2663-55",128.001786157831,0.864413501821912,"Estimable"
"155","Pr_Neo_21","IL16LCSDH-09-T-2664-16",130.023147288295,0.869539134676105,"Estimable"
"156","Pr_Neo_21","IL16LCSDH-09-T-2664-18",131.783844362238,0.852677910687185,"Estimable"
"157","Pr_Neo_21","IL16LCSDH-09-T-2664-20",130.995341324477,0.857227602817442,"Estimable"
"158","Pr_Neo_21","IL16LCSDH-09-T-2664-23",130.536424856513,0.878954046338949,"Estimable"
"159","Pr_Neo_21","IL16LCSDH-09-T-2664-24",130.463819551789,0.857501635729642,"Estimable"
"160","Pr_Neo_21","IL16LCSDH-09-T-2664-27",131.382675903078,0.865201734591771,"Estimable"
"161","Pr_Neo_21","IL16LCSDH-09-T-2664-28",129.879720536317,0.855812253882235,"Estimable"
"162","Pr_Neo_21","IL16LCSDH-09-T-2664-30",131.950250333362,0.859393446013743,"Estimable"
"163","Pr_Neo_21","IL16LCSDH-09-T-2664-36",130.599374774092,0.866194809310033,"Estimable"
"164","Pr_Neo_21","IL16LCSDH-09-T-2664-40",129.806935812162,0.861712913608342,"Estimable"
"165","Pr_Neo_21","IL16LCSDH-09-T-2664-43",130.709537533556,0.857433901824622,"Estimable"
"166","Pr_Neo_21","IL16LCSDH-10-T-2665-20",127.532810217694,0.875904451592697,"Estimable"
"167","Pr_Neo_21","IL16LCSDH-10-T-2665-21",128.600605540905,0.857183296105649,"Estimable"
"168","Pr_Neo_21","IL16LCSDH-10-T-2665-22",132.298627690579,0.860669716480629,"Estimable"
"169","Pr_Neo_21","IL16LCSDH-10-T-2665-41",128.573753214783,0.866999028085507,"Estimable"
"170","Pr_Neo_21","IL16LCSDH-10-T-2665-42",125.570521342782,0.86164630672089,"Estimable"
"171","Pr_Neo_21","IL16LCSDH-10-T-2665-54",129.975635172763,0.860104026062703,"Estimable"
"172","Pr_Neo_21","IL16LCSDH-11-T-2666-206",128.710140574518,0.855190930006281,"Estimable"
"173","Pr_Neo_21","IL16LCSDH-11-T-2666-208",129.064644513616,0.862263811147335,"Estimable"
"174","Pr_Neo_21","IL16LCSDH-11-T-2666-212",129.676633498958,0.870307160376788,"Estimable"
"175","Pr_Neo_21","Kaskaskia",133.006295864192,0.645557079455128,"Estimable"
"176","Pr_Neo_21","Pio 25R74",130.669250145535,0.643685477631839,"Estimable"
