"","study","germplasmName","predicted.value","std.error","status"
"1","Big6_Fra_23","07-19334",97.7769255270508,1.80673549367571,"Estimable"
"2","Big6_Fra_23","12-26004",97.9443166614066,1.8554561103628,"Estimable"
"3","Big6_Fra_23","16-8048",97.862603543834,1.89590545296006,"Estimable"
"4","Big6_Fra_23","19-10123",97.7991448073861,1.70895876493346,"Estimable"
"5","Big6_Fra_23","19-12926",97.4106898568364,1.81272055043368,"Estimable"
"6","Big6_Fra_23","19-13414",98.3279071413676,1.73229097362696,"Estimable"
"7","Big6_Fra_23","19-13451",92.7116415626415,1.80441086416966,"Estimable"
"8","Big6_Fra_23","19-13713",96.5177873433076,1.78744813643794,"Estimable"
"9","Big6_Fra_23","19-13978",98.361365768057,1.81537748552083,"Estimable"
"10","Big6_Fra_23","19-14617",97.1271514750547,1.81966883227924,"Estimable"
"11","Big6_Fra_23","19-14845",102.759395207366,1.79632080964265,"Estimable"
"12","Big6_Fra_23","19-14933",100.098452957119,1.72038046002638,"Estimable"
"13","Big6_Fra_23","19-15017",97.2140839806002,1.79906945376102,"Estimable"
"14","Big6_Fra_23","19-16176",96.8182595863064,1.7789557055466,"Estimable"
"15","Big6_Fra_23","19-17546",97.5875860423645,1.80442137222951,"Estimable"
"16","Big6_Fra_23","19-17662",97.7499346359838,1.72427661014616,"Estimable"
"17","Big6_Fra_23","19-18153",96.5989476647795,1.72849878450167,"Estimable"
"18","Big6_Fra_23","19-18156",97.7235659340252,1.69128579616618,"Estimable"
"19","Big6_Fra_23","19-18725",101.391569660347,1.76807997997385,"Estimable"
"20","Big6_Fra_23","19-18826",94.3658110326304,1.72542982353708,"Estimable"
"21","Big6_Fra_23","19-18837",95.2411254217458,1.69533717824353,"Estimable"
"22","Big6_Fra_23","19-18957",96.7661867727849,1.79478150869459,"Estimable"
"23","Big6_Fra_23","19-19205",97.5668535543723,1.84778048596481,"Estimable"
"24","Big6_Fra_23","19-20348",98.3704107426698,1.73042515301569,"Estimable"
"25","Big6_Fra_23","19-21467",99.8916395848312,1.76577388917834,"Estimable"
"26","Big6_Fra_23","19-21760",97.6484145147964,1.74265267782057,"Estimable"
"27","Big6_Fra_23","19-21848",98.7498686479774,1.71567683085741,"Estimable"
"28","Big6_Fra_23","19-22757",97.6016256813438,1.68051819925393,"Estimable"
"29","Big6_Fra_23","19-23855",93.3685032060206,1.79690079372729,"Estimable"
"30","Big6_Fra_23","19-25469",96.4306818341481,1.79492429517894,"Estimable"
"31","Big6_Fra_23","19-26456",95.4978424099135,1.80032919597815,"Estimable"
"32","Big6_Fra_23","19-26709",98.6119930846924,1.72041548763659,"Estimable"
"33","Big6_Fra_23","19-27565",96.7974820961591,1.73372986717951,"Estimable"
"34","Big6_Fra_23","19-4151",96.2149253803725,1.71682709683038,"Estimable"
"35","Big6_Fra_23","19-5122",97.9540919191733,1.72022764896746,"Estimable"
"36","Big6_Fra_23","19-5632",97.777483773377,1.69960808164823,"Estimable"
"37","Big6_Fra_23","19-6637",96.5091874437883,1.72235787949901,"Estimable"
"38","Big6_Fra_23","19-6946",101.746610852848,1.70660368692623,"Estimable"
"39","Big6_Fra_23","2020-10001",98.0131947023831,1.88146847432699,"Estimable"
"40","Big6_Fra_23","2020-10026",95.4210387445283,2.18645657351081,"Estimable"
"41","Big6_Fra_23","2020-10275",96.3614122202153,1.91066385567149,"Estimable"
"42","Big6_Fra_23","2020-10322",98.6976541205983,1.87094414420442,"Estimable"
"43","Big6_Fra_23","2020-10415",99.0309048535543,1.90734881231473,"Estimable"
"44","Big6_Fra_23","2020-10435",95.8078151627343,1.89530977741222,"Estimable"
"45","Big6_Fra_23","2020-10630",96.9269894836573,1.92973180942379,"Estimable"
"46","Big6_Fra_23","2020-11134",96.3547372285088,2.20092346229645,"Estimable"
"47","Big6_Fra_23","2020-11426",98.1357692939344,1.90682359965187,"Estimable"
"48","Big6_Fra_23","2020-11841",95.3797366195913,2.14647518430956,"Estimable"
"49","Big6_Fra_23","2020-12650",95.15820794107,1.91690411760051,"Estimable"
"50","Big6_Fra_23","2020-12665",96.722988015994,1.88964887116551,"Estimable"
"51","Big6_Fra_23","2020-13145",96.2500018264072,2.18802898914323,"Estimable"
"52","Big6_Fra_23","2020-1362",98.252053613482,2.19210768200943,"Estimable"
"53","Big6_Fra_23","2020-13902",98.7456916383978,1.9156491905843,"Estimable"
"54","Big6_Fra_23","2020-14116",100.045635769389,1.90554762441307,"Estimable"
"55","Big6_Fra_23","2020-1511",96.2640403603406,2.19440232638065,"Estimable"
"56","Big6_Fra_23","2020-15256",100.42406484568,1.92735895709157,"Estimable"
