"","germplasmName","trait","predicted.value","std.error","status"
"1","07-4415","DON",1.3982249015535,2.24893680814513,"Estimable"
"2","07-4415","FDK",19.4153983449417,2.64573851238804,"Estimable"
"3","02-18228","DON",1.1579361396692,2.25327300924045,"Estimable"
"4","02-18228","FDK",13.0916908629284,2.82580242814431,"Estimable"
"5","07-19334","DON",1.5303297070647,2.25529285804759,"Estimable"
"6","07-19334","FDK",14.4596086997783,2.94854337743787,"Estimable"
"7","Pio25R74","DON",2.99437051857568,2.29601089676181,"Estimable"
"8","Pio25R74","FDK",34.4315774013703,4.19588357800049,"Estimable"
"9","Kaskaskia","DON",7.43615143290991,2.25584786617986,"Estimable"
"10","Kaskaskia","FDK",34.7068597221621,3.02722906162797,"Estimable"
"11","16-1922","DON",1.35786347372519,2.29625280617818,"Estimable"
"12","16-1922","FDK",15.8267876502818,4.37078941562778,"Estimable"
"13","16-2870","DON",2.01730165902524,2.29928799726634,"Estimable"
"14","16-2870","FDK",24.3256767360342,4.41852589553342,"Estimable"
"15","16-6214","DON",1.69811414012411,2.29400277615089,"Estimable"
"16","16-6214","FDK",18.1486714973635,4.310961613875,"Estimable"
"17","16-7828","DON",1.11522061549914,2.28377592103356,"Estimable"
"18","16-7828","FDK",11.2077039315816,3.98251282761856,"Estimable"
"19","16-8048","DON",1.50283398095318,2.26545839893608,"Estimable"
"20","16-8048","FDK",12.90576187532,3.43653528984928,"Estimable"
"21","16-8605","DON",1.23972797377102,2.29250105883722,"Estimable"
"22","16-8605","FDK",16.3245862902144,4.23176913844627,"Estimable"
"23","16-8737","DON",2.06404767812167,2.29352737974142,"Estimable"
"24","16-8737","FDK",9.93889305338962,4.27430854276322,"Estimable"
"25","16-8739","DON",2.06898750133135,2.28958136330061,"Estimable"
"26","16-8739","FDK",11.4433980634053,4.1349743037917,"Estimable"
"27","16-8834","DON",1.44359905426175,2.28974309863545,"Estimable"
"28","16-8834","FDK",15.3405574586402,4.16481667912417,"Estimable"
"29","16-10427","DON",1.55972662935684,2.30037027012499,"Estimable"
"30","16-10427","FDK",15.0971223014981,4.46170877958236,"Estimable"
"31","16-11226","DON",2.28169525860834,2.30005005426493,"Estimable"
"32","16-11226","FDK",22.0164362286577,4.47110993477055,"Estimable"
"33","16-12770","DON",1.93489046214555,2.29400359796967,"Estimable"
"34","16-12770","FDK",25.5811427829639,4.29162072422969,"Estimable"
"35","16-12830","DON",0.616086313156548,2.28582221303364,"Estimable"
"36","16-12830","FDK",15.6280947459301,4.03442734591474,"Estimable"
"37","16-18448","DON",2.5104308876122,2.29673920888917,"Estimable"
"38","16-18448","FDK",26.6234625053105,4.35929246935863,"Estimable"
"39","16-18648","DON",1.84596714502499,2.29272773746685,"Estimable"
"40","16-18648","FDK",20.5125530484485,4.25522236499901,"Estimable"
"41","16-19018","DON",1.36164989887289,2.28724670723987,"Estimable"
"42","16-19018","FDK",15.2828261709717,4.04870189448742,"Estimable"
"43","16-19346","DON",2.59098191510097,2.28985778860649,"Estimable"
"44","16-19346","FDK",23.0181138218622,4.1463733940977,"Estimable"
"45","16-20838","DON",2.43786724826825,2.2959765712095,"Estimable"
"46","16-20838","FDK",26.0874681337052,4.37780106534337,"Estimable"
"47","16-21764","DON",1.33849269343474,2.30556193580309,"Estimable"
"48","16-21764","FDK",17.5242373070669,4.58602374767368,"Estimable"
"49","16-22039","DON",1.091407222506,2.29352514158023,"Estimable"
"50","16-22039","FDK",9.150672176669,4.24989087869279,"Estimable"
"51","16-23348","DON",1.94151844896097,2.30271132264505,"Estimable"
"52","16-23348","FDK",15.5587471961393,4.55301462950226,"Estimable"
"53","16-23766","DON",2.16221864931353,2.29733291924934,"Estimable"
"54","16-23766","FDK",13.783622413578,4.35004055061634,"Estimable"
"55","16-23941","DON",1.42273992206672,2.28619882444565,"Estimable"
"56","16-23941","FDK",14.5240510617928,4.00764361490625,"Estimable"
"57","16-23972","DON",0.608666865633447,2.28661575449755,"Estimable"
"58","16-23972","FDK",14.5510616588636,4.03827537568948,"Estimable"
"59","16-28753","DON",1.08144018616085,2.28988678382004,"Estimable"
"60","16-28753","FDK",14.4116532631795,4.15119465991561,"Estimable"
"61","16-28802","DON",3.32223077438984,2.29873928514443,"Estimable"
"62","16-28802","FDK",31.1731625446146,4.4262554393474,"Estimable"
"63","16-30848","DON",1.7525786293892,2.29127094846896,"Estimable"
"64","16-30848","FDK",13.1879302025539,4.21140876421064,"Estimable"
"65","16-32727","DON",1.48913339598995,2.29073713187115,"Estimable"
"66","16-32727","FDK",17.3544298786473,4.1809479596642,"Estimable"
"67","16-32772","DON",0.696612882932222,2.29436566640797,"Estimable"
"68","16-32772","FDK",9.9463926801723,4.24788081262429,"Estimable"
"69","16-33235","DON",1.63572988680925,2.28838205035703,"Estimable"
"70","16-33235","FDK",21.713280694785,4.11674286514838,"Estimable"
"71","16-33368","DON",1.00391252387272,2.29766707014546,"Estimable"
"72","16-33368","FDK",9.62062163340828,4.40018645154753,"Estimable"
"73","16-33550","DON",1.34278160775646,2.28953534869465,"Estimable"
"74","16-33550","FDK",12.3892327261049,4.13462041254595,"Estimable"
"75","16-34849","DON",2.1173324949226,2.29980591666397,"Estimable"
"76","16-34849","FDK",18.746908540258,4.46137831486174,"Estimable"
"77","16-36048","DON",1.52789164023785,2.29378754107002,"Estimable"
"78","16-36048","FDK",17.2490772643695,4.27409621171809,"Estimable"
"79","16-36176","DON",1.27091623984808,2.29551999598845,"Estimable"
"80","16-36176","FDK",14.0297528529304,4.30501903048552,"Estimable"
"81","16-36206","DON",1.3051671779479,2.28243913369861,"Estimable"
"82","16-36206","FDK",19.8768553119993,3.92141942942261,"Estimable"
"83","16-36752","DON",1.86679248242785,2.29003012155525,"Estimable"
"84","16-36752","FDK",16.8386953331077,4.15375804562273,"Estimable"
"85","16-37107","DON",0.985996196965688,2.29659986691923,"Estimable"
"86","16-37107","FDK",16.0085889304226,4.36689595392855,"Estimable"
"87","17-2920","DON",1.8416310778186,2.29653044770291,"Estimable"
"88","17-2920","FDK",17.4725659588953,4.36108294309781,"Estimable"
"89","17-4326","DON",2.20146635377222,2.29195216338938,"Estimable"
"90","17-4326","FDK",20.0425751960129,4.18909580906329,"Estimable"
"91","17-5643","DON",2.06038990650552,2.2977209243821,"Estimable"
"92","17-5643","FDK",25.9361774700451,4.38189382077267,"Estimable"
"93","17-6412","DON",1.30816316239797,2.28681672706255,"Estimable"
"94","17-6412","FDK",10.7447275254294,4.05690540456461,"Estimable"
"95","17-6863","DON",1.8279817059987,2.26927418873932,"Estimable"
"96","17-6863","FDK",16.8862195528034,3.46723800759753,"Estimable"
"97","17-7136","DON",2.01509392103902,2.29241418308862,"Estimable"
"98","17-7136","FDK",18.0134997141613,4.2301229634838,"Estimable"
"99","17-7976","DON",1.81211999418675,2.29555066215852,"Estimable"
"100","17-7976","FDK",23.8743680166494,4.36205284759248,"Estimable"
"101","17-7978","DON",1.8384061039592,2.29271802611427,"Estimable"
"102","17-7978","FDK",23.4199876447362,4.27976148902295,"Estimable"
"103","17-8004","DON",1.09499767582738,2.29241588656848,"Estimable"
"104","17-8004","FDK",17.3490736019324,4.2605034597701,"Estimable"
"105","17-8036","DON",1.50725132431119,2.28263141849247,"Estimable"
"106","17-8036","FDK",10.6693412916449,3.89708585536568,"Estimable"
"107","17-8057","DON",1.87507429526482,2.27204053987279,"Estimable"
"108","17-8057","FDK",18.6078395995158,3.59311042245277,"Estimable"
"109","17-8143","DON",1.94637446832755,2.28944351452505,"Estimable"
