studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,plantedSeedlotStockDbId,plantedSeedlotStockUniquename,plantedSeedlotCurrentCount,plantedSeedlotCurrentWeightGram,plantedSeedlotBoxName,plantedSeedlotTransactionCount,plantedSeedlotTransactionWeight,plantedSeedlotTransactionDescription,availableGermplasmSeedlotUniquenames,FHB DON content - ppm|CO_321:0001154,FHB grain incidence - %|CO_321:0001155,FHB incidence - %|CO_321:0001149,FHB severity - %|CO_321:0001440,Grain test weight - g/l|CO_321:0001210,Heading time - Julian date (JD)|CO_321:0001233,notes
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",84801,07-4415,IL07-4415,plot,252947,Adv_Scb_20-plot1001,1,1,1001,,,test,,,,,,,,,,,,5,40,56.28571429,708,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",85081,02-18228,IL02-18228,plot,252931,Adv_Scb_20-plot1002,1,1,1002,,,test,,,,,,,,,,,,1,30,59.85714286,756,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",84968,07-19334,IL07-19334,plot,252956,Adv_Scb_20-plot1003,1,1,1003,,,test,,,,,,,,,,,,5,40,35.28571429,748,140," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",240793,Pio25R74,,plot,252996,Adv_Scb_20-plot1004,1,1,1004,,,test,,,,,,,,,,,,30,85,90,712,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",84789,Kaskaskia,,plot,252611,Adv_Scb_20-plot1005,1,1,1005,,,test,,,,,,,,,,,,20,90,78.57142857,720,142," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96702,16-1922,WSC 2422,plot,253034,Adv_Scb_20-plot1006,1,1,1006,,,test,,,,,,,,,,,,2,30,18.71428571,732,140," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96790,16-2870,,plot,252930,Adv_Scb_20-plot1007,1,1,1007,,,test,,,,,,,,,,,,15,50,36.28571429,732,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96941,16-4364,IL16-4364,plot,253063,Adv_Scb_20-plot1008,1,1,1008,,,test,,,,,,,,,,,,5,60,41.71428571,760,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96965,16-6214,,plot,252672,Adv_Scb_20-plot1009,1,1,1009,,,test,,,,,,,,,,,,5,30,7,780,141," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96993,16-7828,,plot,252842,Adv_Scb_20-plot1010,1,1,1010,,,test,,,,,,,,,,,,10,90,64.28571429,744,137," (Operator: jrutkoski, Time: )"
