"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","Soil borne mosaic plant response - 0-9 Response Scale|CO_321:0501140","notes"
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","84968","07-19334","IL07-19334","plot","301505","SBMV_Urb_21-rep1-07-19334_1077","1","1","1077","20","1","test","","","","","","","","","","","7",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","85202","12-26004","IL12-26004","plot","301499","SBMV_Urb_21-rep1-12-26004_1011","1","1","1011","3","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","96998","16-8048","IL16-8048,WSC 1148","plot","301293","SBMV_Urb_21-rep1-16-8048_1126","1","1","1126","32","2","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","97310","17-8930","IL17-8930,WSC 1030","plot","301589","SBMV_Urb_21-rep1-17-8930_1078","1","1","1078","20","2","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240469","18-12001","","plot","301551","SBMV_Urb_21-rep1-18-12001_1033","1","1","1033","9","1","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240481","18-12756","","plot","301550","SBMV_Urb_21-rep1-18-12756_1036","1","1","1036","9","4","test","","","","","","","","","","","7",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240484","18-12809","","plot","301334","SBMV_Urb_21-rep1-18-12809_1060","1","1","1060","15","4","test","","","","","","","","","","","8",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240495","18-13748","","plot","301537","SBMV_Urb_21-rep1-18-13748_1131","1","1","1131","33","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240496","18-13756","","plot","301471","SBMV_Urb_21-rep1-18-13756_1053","1","1","1053","14","1","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240498","18-13765","","plot","301572","SBMV_Urb_21-rep1-18-13765_1132","1","1","1132","33","4","test","","","","","","","","","","","1",""
