germplasmName,observationUnitName,notes
IL2022-6409,SI_Urb_23-1,obs:Normal
IL2022-6537,SI_Urb_23-10,"hd:N, obs:Normal"
IL2022-8654,SI_Urb_23-100,"hd:E, obs:Fair"
IL2022F4S-21005,SI_Urb_23-1000,"hd:L, obs:Normal"
IL2022F4S-11508,SI_Urb_23-1001,"hd:N, obs:Fair"
IL2022F4S-12805,SI_Urb_23-1002,"hd:E, obs:Normal"
IL2022F4S-9105,SI_Urb_23-1003,"hd:N, obs:Fair"
IL2022F4S-13201,SI_Urb_23-1004,"hd:N, obs:Normal"
IL2022F4S-7401,SI_Urb_23-1005,"hd:E, obs:Normal"
IL2022F4S-6403,SI_Urb_23-1006,"hd:N, obs:Good"
IL2022F4S-6902,SI_Urb_23-1007,"hd:E, obs:Normal"
IL2022F4S-9705,SI_Urb_23-1008,"hd:E, obs:Normal"
IL2022F4S-19601,SI_Urb_23-1009,"hd:N, obs:Normal"
IL2022-7572,SI_Urb_23-101,"hd:E, obs:Fair"
IL2022F4S-14808,SI_Urb_23-1010,"hd:N, obs:Fair"
IL2022F4S-3903,SI_Urb_23-1011,"hd:E, obs:Normal"
IL2022F4S-12702,SI_Urb_23-1012,"hd:N, obs:Normal"
IL2022F4S-15202,SI_Urb_23-1013,"hd:E, obs:Fair"
IL2022F4S-11805,SI_Urb_23-1014,"hd:N, obs:Normal"
IL2022F4S-10402,SI_Urb_23-1015,"hd:N, obs:Fair"
IL2022F3S-21907,SI_Urb_23-1016,"hd:N, obs:Normal"
IL2022F4S-13104,SI_Urb_23-1017,"hd:N, obs:Good"
IL2022F4S-11505,SI_Urb_23-1018,"hd:E, obs:Fair"
IL2022F4S-21007,SI_Urb_23-1019,"hd:N, obs:Fair"
IL2022-19216,SI_Urb_23-102,"hd:E, obs:Normal"
IL2022F3S-22103,SI_Urb_23-1020,"hd:N, obs:Normal"
IL2022F4S-4903,SI_Urb_23-1021,"hd:N, obs:Normal"
IL2022F4S-13902,SI_Urb_23-1022,"hd:N, obs:Normal"
IL2022F3S-23901,SI_Urb_23-1023,"hd:E, obs:Fair"
IL2022F4S-7602,SI_Urb_23-1024,"hd:L, obs:Normal"
IL2022F4S-18501,SI_Urb_23-1025,"hd:L, obs:Normal"
IL2022F4S-2704,SI_Urb_23-1026,"hd:E, obs:Excellent "
IL2022F4S-18301,SI_Urb_23-1027,"hd:N, obs:Fair"
IL2022F4S-18703,SI_Urb_23-1028,"hd:L, obs:Good"
IL2022F4S-5801,SI_Urb_23-1029,"hd:E, obs:Good"
IL2022-12753,SI_Urb_23-103,"hd:N, obs:Good"
IL2022-9864,SI_Urb_23-1030,"hd:E, obs:Excellent "
IL2022-21758,SI_Urb_23-1031,"hd:N, obs:Normal"
