"","germplasmName","Yield_Average","TestWeight_Average","Heading_NA","Maturity.time_NA","Height_NA","DON_NA","Lodging.incidence...0.9_YT_Urb_23","Yield_YT_Addie_23","Yield_YT_Neo_22","Yield_YT_Neo_23","Yield_YT_Stp_23","Yield_YT_Urb_22","Yield_YT_Urb_23","TestWeight_YT_Addie_23","TestWeight_YT_Neo_22","TestWeight_YT_Neo_23","TestWeight_YT_Stp_23","TestWeight_YT_Urb_22","TestWeight_YT_Urb_23","notes"
"1","07-19334",107.74,61.98,133.59,171.75,39.95,1.54,2.13,97.37,106.67,131.57,95.39,109.34,111.27,63.19,61.04,62.67,63.85,61.46,60.45,NA
"2","12-26004",102.59,60.31,128.77,163.5,37.77,NA,2.82,99.71,102.86,130.38,92.56,97.14,91.12,56.9,60.52,60.39,61.31,61.3,59.92,NA
"3","16-8048",105.19,61.78,132.97,167.08,38.71,1.13,1.01,93.82,105.29,127.4,91.35,107.5,106.93,60.99,60.48,62.63,63.89,62.08,60.49,NA
"4","25R76",109.89,61.67,132.4,172.53,38.13,NA,1.62,103.37,108.13,138.39,98.1,109.41,110.62,60.46,61.45,62.14,63.47,61.83,60.63,NA
"5","AgriMAXX503",111.62,61.1,133.97,168.27,38.84,NA,2.26,103.05,109.64,138.44,102.27,112.14,115.48,59.37,61.05,61.5,63.33,61.37,59.69,NA
"6","IL2021-11634",103.14,63.09,130.58,164.15,37.97,NA,3.17,99.34,101.72,123.05,89.28,103.5,100.21,60.7,62.64,64.18,65.27,63.29,62.75,NA
"7","IL2021-13321",104.05,61.47,133.18,167.56,38.53,NA,1.64,92.44,102.82,126.77,88.27,106.96,106.37,59.11,61.32,61.84,63.89,61.77,60.57,"YTAddie23[see down row]"
"8","IL2021-13577",105.22,61.66,130.79,162.38,39.33,NA,2.95,100.38,103.74,127.54,90.35,105.95,104.79,58.89,61.48,62.08,64.52,61.96,60.83,NA
"9","IL2021-13707",107.73,60.75,130.35,164.9,38.33,NA,2.19,105.81,105.97,130.9,95.9,107.08,106.19,57.74,60.82,60.82,62.15,61.6,60.27,NA
"10","IL2021-13712",104.19,61.14,131.12,168.58,39.07,NA,2.08,94.56,102.72,120.61,89.35,108.28,109.07,59.1,61.07,61.47,63.42,61.45,59.95,NA
"11","IL2021-13713",108.65,60.39,129.05,164.81,36.09,NA,1.01,107.97,106.84,134.14,96.14,107.05,106.73,56.7,60.62,60.65,61.44,61.32,60.07,NA
"12","IL2021-13718",105.25,61.19,129.59,164.49,36.97,NA,0.47,102.21,103.73,130.8,90.74,103.86,101.89,57.9,61.13,61.3,63.24,61.89,60.87,"YTAddie23[septoria]; YTUrb23[npt, ve]"
"13","IL2021-13723",105.49,61.14,130.46,165.94,37.69,NA,2.23,97.05,103.98,128.86,93.13,106.38,105.35,58.27,61.15,61.6,62.92,61.75,60.37,"YTUrb23[seg]"
"14","IL2021-13734",102.3,61.56,129.52,164.22,38.03,NA,1.56,94.97,101.05,127.28,88.81,101.59,97.2,59.31,61.45,62.04,63.12,62.17,60.75,"YTUrb22[Ve, npt]"
"15","IL2021-14267",101.38,62.69,129.97,166.54,39.54,NA,2.52,98.74,100.04,118.46,86.04,102.26,98.23,61.14,62.28,63.58,65.05,62.75,61.82,"YTUrb22[Lodging]"
"16","IL2021-14320",105.77,63.08,133.06,167.95,38.66,NA,1.89,97.13,104.37,127.83,89.95,108.45,108.87,61.97,62.58,64.2,65.29,62.98,62.21,"YTUrb22[Leaning]"
"17","IL2021-14513",104.46,61.51,131.77,166.39,40.03,NA,2.31,98.32,103.1,127.06,88.81,105.6,104.02,59.84,61.32,61.73,63.89,61.96,60.16,"YTUrb22[Leaning]"
"18","IL2021-14556",104.69,63.18,132.06,166.99,39.31,NA,2.59,95.7,103.26,127.95,92.04,105.68,104.07,62.12,62.61,64.12,65.63,63.03,62.42,NA
"19","IL2021-14567",99.32,62.29,131.19,163.4,40.88,NA,2.9,89.72,98.33,117.4,82.38,102.18,97.96,60.55,62.01,63.17,64.31,62.52,61.26,"YTUrb22[Leaning]"
"20","IL2021-14669",105.96,62.64,130.5,167.7,38.71,NA,3.91,99.52,104.47,128.81,90.96,107.29,107.13,61.11,62.21,63.38,64.75,62.71,62.08,NA
"21","IL2021-14676",103.47,62.29,131,166.56,39.17,NA,2.5,94.74,102.07,126.41,91.99,103.76,100.62,61.78,61.89,62.97,64.93,62.11,60.76,"YTStp23[, tall]"
"22","IL2021-14779",102.9,63.22,132.03,168.61,39.61,NA,5.97,99.79,101.52,122.45,87.61,103.5,100.37,62.69,62.59,64.04,66.2,62.96,62.02,"YTUrb22[Lodg]"
"23","IL2021-14925",106.86,63.28,134.8,169.86,38.92,NA,2.43,97.1,105.37,129.6,91.63,109.73,111.4,64.04,62.53,63.88,65.86,62.73,62.15,NA
"24","IL2021-15117",103.41,62.63,133.64,167.75,38.93,NA,2.22,93.91,102.09,123.86,89.12,105.76,104.14,61.75,62.16,63.48,66.04,62.29,60.99,"YTAddie23[uneven]"
"25","IL2021-15134",109.35,62.89,131.6,167.67,37.17,NA,2.12,96.4,107.63,135.07,99.24,111.47,113.83,60.96,62.4,63.75,65.66,62.7,62.44,"YTAddie23[plot dmg]"
