"","germplasmName","Yield_Average","TestWeight_Average","Heading_NA","Maturity.time_NA","Height_NA","DON_NA","Lodging.incidence...0.9_YT_Urb_23","Lodging.incidence...0.9_YT_War_23","SBMV_NA","Yield_Big6_Fra_23","Yield_Big6_Fre_23","Yield_Big6_Laf_23","Yield_Big6_Mas_23","Yield_Big6_Prn_23","Yield_Big6_Urb_23","Yield_Big6_Woo_23","Yield_YT_Addie_23","Yield_YT_Blk_22","Yield_YT_Blk_23","Yield_YT_Blv_22","Yield_YT_Blv_23","Yield_YT_Neo_22","Yield_YT_Neo_23","Yield_YT_Stj_22","Yield_YT_Stp_22","Yield_YT_Stp_23","Yield_YT_Urb_22","Yield_YT_Urb_23","Yield_YT_War_22","Yield_YT_War_23","TestWeight_Big6_Fra_23","TestWeight_Big6_Fre_23","TestWeight_Big6_Laf_23","TestWeight_Big6_Mas_23","TestWeight_Big6_Prn_23","TestWeight_Big6_Urb_23","TestWeight_Big6_Woo_23","TestWeight_YT_Addie_23","TestWeight_YT_Blk_22","TestWeight_YT_Blk_23","TestWeight_YT_Blv_22","TestWeight_YT_Blv_23","TestWeight_YT_Neo_22","TestWeight_YT_Neo_23","TestWeight_YT_Stj_22","TestWeight_YT_Stp_22","TestWeight_YT_Stp_23","TestWeight_YT_Urb_22","TestWeight_YT_Urb_23","TestWeight_YT_War_22","TestWeight_YT_War_23","notes"
"1","07-19334",100.22,60.67,127.84,171.75,39.25,1.26,2.13,0.88,4.8,98.27,111.45,75.36,89.25,106.97,121.1,91.58,96.94,89.61,117.97,83.05,84.75,106.4,131.01,72.79,96.82,96.08,107.86,120,87.63,127.7,62.24,57.36,53.78,61.76,57.59,61.79,59.56,63.85,59.42,60.83,60.98,63.03,60.81,63.23,58.36,61.97,63.94,61.31,61.22,60.52,59.94,NA
"2","12-26004",90.79,58.3,121.5,163.5,36.73,0.83,2.82,1.09,3.09,98.23,101.11,67.83,80.93,84.45,87.88,74.04,100.68,74.79,107.53,96.4,91.17,100.39,129.7,72.7,91.73,91.36,91.85,91.83,62.09,102.76,61.78,57.45,52.04,60.31,50.88,59.72,56.08,56.91,57.93,59.85,59.67,56.48,60.45,60.01,56.81,60.52,61.13,61.28,59.7,56.25,58.2,NA
"3","16-8048",99.07,59.92,126.42,167.08,37.64,1,1.01,-0.13,4.01,97.92,112.31,75.78,87.45,102.02,116.52,97.14,95.19,95.46,114.42,95.01,88.44,104.8,127.49,75.73,93.35,92.23,108.15,113.31,76.88,117.62,61.83,57.67,53.22,61.88,54.44,61.42,58,61.09,59.71,61.37,60.68,59.09,60.7,62.52,58.29,61.75,63.78,62.02,60.33,58.96,59.41,NA
"4","19-10123",94.07,59.29,123.41,164.18,37.94,1.07,4.29,1.13,3.36,97.64,102.95,69.94,83.75,92.07,97.68,82.8,100.2,86.27,106.87,95.5,91.11,103.25,125.53,74.08,92.73,90.61,102.68,99.83,71.8,106.5,62.5,57.68,52.73,61.3,53.46,61.03,57.04,59.34,59.43,59.55,60.35,58.5,60.89,61.44,58.14,60.94,62.77,61.77,60.44,56.33,59.22,"Big6Fre23[App5:3]; Big6Fre23[App5:3]; Big6Laf23[pretty]; Big6Laf23[pretty]; OVTBlv23[Damage pct: 1]; OVTBlv23[Damage pct: 3]; OVTBlv23[Damage pct: 1]; PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTAddie23[looks good]; YTBlv23[looks good, early, a bit uneven]; YTNeo22[septoria, leaning]; YTUrb22[Leaning]; YTUrb23[lots of heads]"
"5","19-12926",91.59,59.99,124.11,164.21,38.71,1.2,2.18,0.67,2.83,98.27,105.95,65.89,82.16,85.18,94.87,75.88,99.61,83.66,106.55,84.87,92.27,99.42,119.97,74.57,95.33,90.94,101.32,95.72,65.4,99.63,63.54,58.08,53.24,61.78,55.57,62.32,57.39,59.26,59.53,60.73,60.69,59.51,61.73,62.71,58.32,61.61,63.31,62.07,61.56,58,59.53,"Big6Fre23[App5:2]; PrStj21[maturity:E]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[ve]; YTNeo22[ve, clean]"
"6","19-13414",98.48,60.59,126.09,166.88,38.67,1.22,1.42,-0.06,3.49,98.94,110.2,79.37,86.64,96.9,114.63,87.2,99.57,90.13,110.22,91.23,88.73,104.28,132.98,76.2,97.75,91.06,106.58,112.94,79.28,118.47,63.77,58.17,53.66,61.59,56.33,62.67,58.04,61.39,59.52,61.44,61.45,59.77,61.79,63.56,59.32,62.33,64.42,62.06,61.88,60.1,59.96,"Big6Fre23[App5:3]; Big6Fre23[App5:2]; PrStj21[maturity:L]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTBlv23[pct damage:1]; YTUrb22[Tall]; YTUrb22[Tall]"
"7","19-13451",92.86,59.34,124.04,167.09,38.41,1.09,2.61,0.13,3.49,94.16,107.86,56.17,81.91,92.02,102.71,74.18,99.21,83.08,112.89,88.45,90.77,98.79,123.83,71.73,93.52,91.43,99.57,101.18,75.99,106.92,61.86,57.67,52.73,60.46,53.97,61.26,57.06,56.51,59.28,61.38,60.65,58.25,60.82,61.11,58.3,61.25,64.55,60.84,60.2,58.77,59.14,"Big6Fre23[App5:2]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTBlv23[pct damage:1]; YTNeo22[ve]; YTNeo22[clean]; YTUrb22[Leaning]"
"8","19-13713",91.89,59.53,124.08,164.33,38.47,0.6,1.97,0.67,2.43,97.08,104.2,62.07,82.04,93.94,97.36,83.97,98.76,83.05,105.44,86.35,94.17,97.78,119.55,75.66,93.05,86.79,96.28,96.12,68.38,102.65,63.38,57.99,52.82,61.58,54.99,61.7,56.72,59.09,59.62,60.25,60.72,57.86,61.32,61.54,58.55,61.36,62.68,62.04,59.83,57.61,59.13,"Big6Fre23[App5:2]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall, leaning]; YTUrb22[Leaning]; YTUrb22[Tall]; YTUrb23[looks good, ve]"
"9","19-13978",92.47,60.48,122.39,164.35,38.09,0.77,2.52,0.55,2.04,98.59,104,69.19,82.96,87.02,95.01,79.39,102.1,82.41,110.91,78.12,89.51,101.49,125.83,74.78,96.34,88.59,104.56,97.25,65.97,103.02,63.2,58.3,53.62,62.29,56.94,62.94,57.75,59.6,59.8,60.84,61.23,60.39,62.07,63.23,59.03,62.04,64.04,62.96,61.75,58.46,60.51,"Big6Fre23[App5:3]; PrStj21[maturity:E]; PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTAddie23[see down row]; YTBlv23[pct damage:5]; YTBlv23[pct damage:1]; YTNeo22[sept]; YTStp23[, see down row]; YTUrb22[Ve, tall]; YTUrb22[Lodg]; YTUrb23[ve]"
"10","19-14617",93.05,58.87,122.49,164.48,38.49,0.83,2.62,0.78,3.49,96.44,105.2,65.87,83.97,84.68,102.16,82.34,98.8,82.69,110.03,87.62,91.88,101.61,124,73.62,97.16,87.52,100.69,99.69,67.66,106.85,61.73,57.69,52.39,60.68,53.39,61.01,56.37,57.77,58.63,60.09,59.94,57.84,60.89,60.6,58.2,60.67,61.24,61.54,59.34,56.63,59.52,"Big6Fre23[App5:1]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTBlv23[pct damage:2]; YTBlv23[pct damage:1 leaning]; YTNeo22[sept]; YTUrb22[Leaning]; YTUrb22[Looks weak]"
"11","19-14845",95.5,58.51,123.16,161.42,37.78,0.96,2.39,0.96,-0.33,102.42,106.4,68.33,83.49,87.82,96.14,88.21,111.46,84.98,112.31,95.14,99.93,103.32,132.7,76.83,95.24,94.87,99.4,96.17,65.77,104.75,60.94,57.55,52.14,60.68,53.19,59.85,56.11,57.12,58.61,60.09,60.18,56.53,60.62,60.23,57.53,60.38,61.28,61.31,58.32,56.76,58.78,"Big6Fre23[App5:3]; PrStj21[obs:mixed appearance]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTAddie23[clean]; YTAddie23[thick]; YTStp23[, tall]; YTUrb22[Tall]; YTUrb23[vve]"
"12","19-14933",93.4,59.31,122.7,166.84,40.01,0.75,1.97,0.73,2.17,99.87,104.72,69.47,82.35,83.97,93.17,79.6,105.43,86.93,110.74,88.51,98.62,101.65,127.59,77.85,95.77,90.87,98.9,94.5,67.97,99.98,62.51,57.64,52.75,61.96,53.9,60.95,57.12,59.03,59.31,61.03,60.05,58.42,60.88,61.42,57.38,60.87,62.5,61.49,59.42,57.83,58.92,"Big6Fre23[App5:4]; Big6Fre23[App5:3]; Big6Laf23[pretty]; OVTBlv23[Damage pct: 0]; OVTBlv23[Damage pct: 0]; OVTBlv23[Damage pct: 3]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTAddie23[tall]; YTBlv23[pct damage:1]; YTBlv23[pct damage:1]; YTNeo22[leaning]; YTUrb22[Leaning]; YTUrb22[Leaning]; YTUrb23[tall, purple stem]"
"13","19-15017",91.02,59.14,122.49,163.58,37.95,1.29,1.82,1.41,3.09,97.34,104.92,67.92,80.51,86.46,87.72,77.66,101.98,78.96,107.36,89.12,93.38,98.88,122.83,75.81,94.08,86.08,95.29,90.17,68.44,99.95,63.01,57.68,52.6,61.2,54.36,60.49,56.79,57.8,58.54,59.89,60.57,58.12,60.96,61.06,58.08,61.17,62.17,61.18,59.37,58.18,58.5,"Big6Fre23[App5:2]; PrStj21[maturity:VE]; PrUrb21[exclude_plot:true, rust:R]; PrUrb21[rust:MrMs]; YTBlv23[pct damage:1]; YTNeo22[tall, clean]; YTNeo22[tall, clean]; YTUrb22[Tall]"
