"","germplasmName","Yield_Average","TestWeight_Average","Heading_NA","Maturity.time_NA","Height_NA","DON_NA","Lodging.incidence...0.9_YT_Urb_23","Lodging.incidence...0.9_YT_War_23","SBMV_NA","Yield_Big6_Fra_23","Yield_Big6_Fre_23","Yield_Big6_Laf_23","Yield_Big6_Mas_23","Yield_Big6_Prn_23","Yield_Big6_Urb_23","Yield_Big6_Woo_23","Yield_Pr_Neo_21","Yield_Pr_Stj_21","Yield_Pr_Urb_21","Yield_YT_Addie_23","Yield_YT_Blk_22","Yield_YT_Blk_23","Yield_YT_Blv_22","Yield_YT_Blv_23","Yield_YT_Neo_22","Yield_YT_Neo_23","Yield_YT_Stj_22","Yield_YT_Stp_22","Yield_YT_Stp_23","Yield_YT_Urb_22","Yield_YT_Urb_23","Yield_YT_War_22","Yield_YT_War_23","TestWeight_Big6_Fra_23","TestWeight_Big6_Fre_23","TestWeight_Big6_Laf_23","TestWeight_Big6_Mas_23","TestWeight_Big6_Prn_23","TestWeight_Big6_Urb_23","TestWeight_Big6_Woo_23","TestWeight_Pr_Neo_21","TestWeight_Pr_Stj_21","TestWeight_Pr_Urb_21","TestWeight_YT_Addie_23","TestWeight_YT_Blk_22","TestWeight_YT_Blk_23","TestWeight_YT_Blv_22","TestWeight_YT_Blv_23","TestWeight_YT_Neo_22","TestWeight_YT_Neo_23","TestWeight_YT_Stj_22","TestWeight_YT_Stp_22","TestWeight_YT_Stp_23","TestWeight_YT_Urb_22","TestWeight_YT_Urb_23","TestWeight_YT_War_22","TestWeight_YT_War_23","notes"
"1","07-19334",98.81,60.17,129.31,171.75,39.46,1.26,2.13,0.88,4.8,97.78,111.49,74.92,88.48,107.04,121.26,91.22,88.79,96.66,85.74,97.19,89.4,118.14,83.03,84.87,106.43,131.24,72.83,96.88,96.2,107.9,120,87.63,127.72,62.23,57.35,53.72,61.78,57.48,61.78,59.74,55.95,58.69,55.15,63.87,59.35,60.82,60.99,63.03,60.82,63.27,58.35,61.98,63.93,61.32,61.23,60.51,59.92,NA
"2","12-26004",90.09,58,122.96,163.5,36.94,0.83,2.82,1.09,3.09,97.94,101.08,67.92,80.8,84.46,87.93,74.29,84.24,83.16,86,100.31,74.88,107.51,96.43,91.19,100.27,130,72.79,91.76,91.39,91.78,91.25,62.11,102.89,61.78,57.42,52.05,60.3,50.9,59.71,56.1,55.23,58.4,54.25,56.92,57.95,59.85,59.66,56.5,60.43,60,56.81,60.52,61.13,61.28,59.7,56.26,58.2,NA
"3","16-8048",97.79,59.52,127.89,167.08,37.85,1,1.01,-0.13,4.01,97.86,112.57,75.46,86.77,101.79,115.87,96.64,87.74,93.67,85.74,95.99,95.13,114.81,94.97,88.96,105.07,128,75.88,93.63,92.58,108.32,113.73,76.85,117.58,61.83,57.67,53.2,61.9,54.37,61.42,58.04,55.97,59.12,55.15,61.09,59.66,61.36,60.68,59.1,60.69,62.55,58.29,61.75,63.78,62.05,60.33,58.96,59.4,NA
"4","19-10123",93.06,58.98,124.54,164.18,38.24,1.07,4.29,1.13,3.36,97.8,102.89,69.94,83.19,91.84,97.3,82.76,86.25,85.18,86.21,100.64,86.23,106.89,95.52,91.29,103.06,125.63,74.22,92.81,90.68,102.65,99.43,71.79,106.45,62.51,57.71,52.76,61.32,53.47,61.06,57.02,56.16,59.21,54.88,59.33,59.42,59.56,60.36,58.5,60.92,61.48,58.16,60.95,62.78,61.81,60.45,56.33,59.23,"Big6Fre23[App5:3]; Big6Fre23[App5:3]; Big6Laf23[pretty]; Big6Laf23[pretty]; OVTBlv23[Damage pct: 1]; OVTBlv23[Damage pct: 3]; OVTBlv23[Damage pct: 1]; PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTAddie23[looks good]; YTBlv23[looks good, early, a bit uneven]; YTNeo22[septoria, leaning]; YTUrb22[Leaning]; YTUrb23[lots of heads]"
"5","19-12926",90.58,59.57,125.56,164.21,38.85,1.2,2.18,0.67,2.83,97.41,105.82,65.7,81.33,85.19,94.55,75.68,83.92,83.1,85.17,99.55,83.66,106.47,84.86,92.24,99.33,119.74,74.49,95.29,90.9,101.3,95.4,65.41,99.57,63.49,57.92,53.19,61.72,55.6,62.18,57.54,55.93,59.28,55.05,59.29,59.43,60.72,60.62,59.55,61.6,62.6,58.27,61.57,63.3,62,61.53,58.01,59.51,"Big6Fre23[App5:2]; PrStj21[maturity:E]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[ve]; YTNeo22[ve, clean]"
"6","19-13414",97.23,60.27,127.53,166.88,38.86,1.22,1.42,-0.06,3.49,98.33,110.15,78.92,86.87,97.01,114.85,87.07,88.5,93.65,86.2,99.42,90.15,110.16,91.24,88.65,104.29,133.13,76.04,97.71,91.02,106.57,112.9,79.29,118.48,63.8,58.31,53.69,61.58,56.32,62.75,57.81,57.07,60.74,56,61.34,59.71,61.46,61.5,59.72,61.89,63.64,59.38,62.35,64.43,62.08,61.9,60.11,59.99,"Big6Fre23[App5:3]; Big6Fre23[App5:2]; PrStj21[maturity:L]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTBlv23[pct damage:1]; YTUrb22[Tall]; YTUrb22[Tall]"
"7","19-13451",91.27,59.09,125.55,167.09,38.73,1.09,2.61,0.13,3.49,92.71,107.27,55.09,80.97,92.99,103.81,72.95,80.75,86.15,82.17,97.86,83.14,112.29,88.33,89.77,98.04,123.01,70.8,92.82,90.77,99.37,102.07,76.09,106.9,61.92,57.84,52.8,60.48,53.99,61.39,56.88,56.83,59.06,55.68,56.51,59.38,61.39,60.71,58.22,60.94,61.21,58.38,61.3,64.59,60.86,60.24,58.78,59.17,"Big6Fre23[App5:2]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTBlv23[pct damage:1]; YTNeo22[ve]; YTNeo22[clean]; YTUrb22[Leaning]"
"8","19-13713",91.05,59.19,125.32,164.33,38.56,0.6,1.97,0.67,2.43,96.52,104.32,61.98,81.15,94.19,97.22,83.63,81.84,87.32,84.56,99.51,83.06,105.57,86.31,94.29,98.05,119.56,75.53,93.18,86.97,96.37,96.37,68.42,102.8,63.36,57.91,52.83,61.57,55.08,61.65,56.79,56.13,59.05,55.34,59.11,59.56,60.25,60.69,57.91,61.25,61.48,58.53,61.34,62.69,62.01,59.82,57.63,59.14,"Big6Fre23[App5:2]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall, leaning]; YTUrb22[Leaning]; YTUrb22[Tall]; YTUrb23[looks good, ve]"
"9","19-13978",91.96,60.09,123.76,164.35,38.36,0.77,2.52,0.55,2.04,98.36,104.04,69.37,83.01,87.27,95.57,79.78,84.69,91.29,86.54,101.86,82.73,110.89,78.19,89.42,101.5,125.75,74.74,96.34,88.57,104.68,97.88,66.01,103.18,63.18,58.25,53.6,62.27,56.98,62.91,57.74,56.01,60.34,55.9,59.61,59.82,60.84,61.21,60.38,62.02,63.16,59.01,62.02,64.03,62.95,61.74,58.47,60.51,"Big6Fre23[App5:3]; PrStj21[maturity:E]; PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTAddie23[see down row]; YTBlv23[pct damage:5]; YTBlv23[pct damage:1]; YTNeo22[sept]; YTStp23[, see down row]; YTUrb22[Ve, tall]; YTUrb22[Lodg]; YTUrb23[ve]"
"10","19-14617",92.77,58.62,123.54,164.48,38.68,0.83,2.62,0.78,3.49,97.13,105.71,66.24,83.5,85.18,102.61,82.77,87.05,91.41,85.94,99.43,82.92,110.46,87.64,92.23,102.1,124.42,73.8,97.51,87.96,101.03,101.27,67.71,107.28,61.77,57.81,52.45,60.7,53.44,61.1,56.2,55.8,59.36,55.08,57.74,58.76,60.11,59.97,57.8,61,60.67,58.25,60.7,61.25,61.58,59.37,56.64,59.54,"Big6Fre23[App5:1]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTBlv23[pct damage:2]; YTBlv23[pct damage:1 leaning]; YTNeo22[sept]; YTUrb22[Leaning]; YTUrb22[Looks weak]"
"11","19-14845",94.71,58.18,124.28,161.42,38.17,0.96,2.39,0.96,-0.33,102.76,105.94,69.56,85.19,86.86,95.43,89.11,90.11,85.3,90.62,111.58,85.45,111.86,95.36,99.7,103.12,132.25,77.16,94.97,94.43,98.87,94.99,65.73,104.5,60.93,57.5,52.14,60.67,53.23,59.82,56.13,55.35,58.5,54.22,57.12,58.57,60.08,60.16,56.54,60.57,60.19,57.5,60.36,61.28,61.29,58.3,56.76,58.77,"Big6Fre23[App5:3]; PrStj21[obs:mixed appearance]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTAddie23[clean]; YTAddie23[thick]; YTStp23[, tall]; YTUrb22[Tall]; YTUrb23[vve]"
"12","19-14933",92.75,58.94,123.88,166.84,40.25,0.75,1.97,0.73,2.17,100.1,104.6,70.01,83.2,83.68,92.95,80.13,86.43,87.02,88.25,105.37,87.34,110.59,88.65,98.59,101.63,127.42,77.94,95.72,90.72,98.74,94.03,67.98,99.94,62.51,57.64,52.74,61.98,53.89,60.94,57.11,55.1,59.07,54.92,59.03,59.27,61.02,60.04,58.41,60.87,61.4,57.38,60.86,62.5,61.48,59.41,57.83,58.92,"Big6Fre23[App5:4]; Big6Fre23[App5:3]; Big6Laf23[pretty]; OVTBlv23[Damage pct: 0]; OVTBlv23[Damage pct: 0]; OVTBlv23[Damage pct: 3]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTAddie23[tall]; YTBlv23[pct damage:1]; YTBlv23[pct damage:1]; YTNeo22[leaning]; YTUrb22[Leaning]; YTUrb22[Leaning]; YTUrb23[tall, purple stem]"
"13","19-15017",90.14,58.79,123.61,163.58,38.43,1.29,1.82,1.41,3.09,97.21,104.74,67.83,80.28,86.36,87.52,77.61,83.54,81.79,85.74,101.89,79.07,107.19,89.15,93.28,98.7,122.61,75.7,93.98,85.92,95.14,90.02,68.47,99.95,63,57.66,52.6,61.19,54.38,60.48,56.78,55.26,58.92,54.95,57.81,58.58,59.9,60.57,58.12,60.94,61.04,58.07,61.17,62.17,61.15,59.36,58.19,58.51,"Big6Fre23[App5:2]; PrStj21[maturity:VE]; PrUrb21[exclude_plot:true, rust:R]; PrUrb21[rust:MrMs]; YTBlv23[pct damage:1]; YTNeo22[tall, clean]; YTNeo22[tall, clean]; YTUrb22[Tall]"
"14","19-16176",94.28,59.64,126.38,167.77,37.56,1.93,5.09,0.65,2.04,96.82,108.26,69.5,84.44,93.44,109.34,83.24,84.19,91.63,84.56,97.44,92.02,109.48,86.09,83.76,101.77,128.24,74.38,95,89.55,101.44,108.39,76.97,114.2,61.51,57.93,53.3,61.95,54.89,61.71,57.74,56.46,59.77,55.27,61.18,59.48,60.62,60.41,59.42,61.62,62.63,58.32,61.91,64.25,62.13,61.24,58.62,59.23,"Big6Fre23[App5:3]; PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[ve, clean]; YTNeo22[lodging]"
"15","19-17546",92.51,58.6,123.77,162.85,38.72,1.18,2.18,1.39,2.3,97.59,101.95,72.6,82.05,86.43,91.23,87.47,86.84,85.19,86.45,102.46,83.13,110.66,93.84,94.31,98.51,126.57,74.12,93.53,89.92,98.35,94.62,69.88,107.92,61.52,57.7,52.41,60.4,54.12,60.32,56.33,55.75,59.3,54.63,58.28,58.8,60.13,60.52,57.45,60.96,60.54,57.99,60.65,61.7,61.17,59.8,56.94,59.01,"Big6Fre23[App5:3]; PrStj21[maturity:E]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTBlv23[pct damage:2 looks good]; YTNeo22[sept]; YTUrb22[Tall, ve]; YTUrb23[vve]"
