,germplasmName,Weight..lb.,observationUnitName,notes,Decision,purdy pedigree
886,IL2022F3S-21701,5.15,SI_Urb_23-1477,"hd:E, obs:Fair",1,07-20728/17-23868
887,IL2022F3S-21704,4.5,SI_Urb_23-342,"hd:E, high tillering, big spikes, obs:Fair",1,07-20728/17-23868
888,IL2022F3S-21706,3.92,SI_Urb_23-415,obs:Fair,1,07-20728/17-23868
889,IL2022F3S-21804,6.44,SI_Urb_23-1413,"hd:E, obs:Normal",1,12-8512/15-4957
890,IL2022F3S-21903,4.2,SI_Urb_23-817,"hd:N, obs:Good",1,12-8512/16-11226
892,IL2022F3S-21905,5.3,SI_Urb_23-626,obs:Normal,1,12-8512/16-11226
893,IL2022F3S-21907,6.14,SI_Urb_23-1016,"hd:N, obs:Normal",1,12-8512/16-11226
894,IL2022F3S-22101,5.59,SI_Urb_23-1105,"hd:N, obs:Good",1,15-23803/17-23902
895,IL2022F3S-22102,5.5,SI_Urb_23-253,"big flag leaves, obs:Good",1,15-23803/17-23902
896,IL2022F3S-22103,4.97,SI_Urb_23-1020,"hd:N, obs:Normal",1,15-23803/17-23902
897,IL2022F3S-22104,5.94,SI_Urb_23-1097,"hd:N, obs:Normal",1,15-23803/17-23902
898,IL2022F3S-22105,4.48,SI_Urb_23-540,"hd:L, obs:Fair",1,15-23803/17-23902
899,IL2022F3S-22106,6.58,SI_Urb_23-1388,"hd:N, obs:Normal",1,15-23803/17-23902
900,IL2022F3S-22201,4.77,SI_Urb_23-514,"hd:L, obs:Normal",1,15-2639/15-27270
901,IL2022F3S-22202,6.66,SI_Urb_23-246,"hd:L, obs:Good",1,15-2639/15-27270
902,IL2022F3S-22203,6.42,SI_Urb_23-998,"hd:L, obs:Good",1,15-2639/15-27270
903,IL2022F3S-22301,3.84,SI_Urb_23-450,obs:Fair,1,15-2639/16-32772
905,IL2022F3S-22401,4.52,SI_Urb_23-126,"hd:L, obs:Good",1,15-2639/16-8048
906,IL2022F3S-22501,5.34,SI_Urb_23-632,obs:Fair,1,15-27270/15-23803
907,IL2022F3S-22502,5.02,SI_Urb_23-824,"hd:N, obs:Good",1,15-27270/15-23803
908,IL2022F3S-22601,5.02,SI_Urb_23-418,obs:Normal,1,15-27270/16-28753
909,IL2022F3S-22602,5.29,SI_Urb_23-1400,"hd:N, late, obs:Normal",1,15-27270/16-28753
910,IL2022F3S-22603,5.14,SI_Urb_23-800,"hd:N, obs:Normal",1,15-27270/16-28753
912,IL2022F3S-22702,5.2,SI_Urb_23-913,"hd:E, obs:Fair",1,15-27270/16-36048
913,IL2022F3S-22703,5.16,SI_Urb_23-333,obs:Good,1,15-27270/16-36048
914,IL2022F3S-22705,3.84,SI_Urb_23-66,"hd:N, obs:Fair",1,15-27270/16-36048
915,IL2022F3S-22901,4.4,SI_Urb_23-537,obs:Normal,1,16-11226/16-28753
916,IL2022F3S-22902,4.72,SI_Urb_23-1490,"hd:E, obs:Fair",1,16-11226/16-28753
918,IL2022F3S-22904,4.82,SI_Urb_23-1114,"hd:N, obs:Normal",1,16-11226/16-28753
919,IL2022F3S-23203,6.13,SI_Urb_23-928,"hd:N, obs:Good",1,16-8048/15-27270
920,IL2022F3S-23401,4.24,SI_Urb_23-522,obs:Good,1,16-8048/17-23902
921,IL2022F3S-23402,6.96,SI_Urb_23-1479,"hd:E, obs:Good",1,16-8048/17-23902
922,IL2022F3S-23501,5.24,SI_Urb_23-916,"hd:N, obs:Normal",1,17-12172/17-23904
923,IL2022F3S-23601,4.64,SI_Urb_23-163,"hd:E, obs:Good",1,17-13024/12-26004
924,IL2022F3S-23701,5.02,SI_Urb_23-1219,"hd:N, obs:Normal",1,17-18534/15-4957
925,IL2022F3S-23702,4.01,SI_Urb_23-706,obs:Normal,1,17-18534/15-4957
926,IL2022F3S-23901,5.16,SI_Urb_23-1023,"hd:E, obs:Fair",1,17-23902/15-4957
928,IL2022F3S-24203,3.65,SI_Urb_23-1277,"hd:E, obs:Fair",1,US16-IL-065-030/16-11226
