"","germplasmName","DON","Heading","Height","Lodging","Maturity","TestWeight","Yield","Weight..lb.","notes.x","notes.y"
"1","07-19334",1.62,134.58,38.62,2.96,170.35,59.15,90.64,NA,NA,""
"2","07-19334",1.62,134.58,38.62,2.96,170.35,59.15,90.64,NA,NA,""
"3","16-8048",1.47,132.82,37.19,0.88,167.21,58.98,90.89,NA,NA,""
"4","16-8048",1.47,132.82,37.19,0.88,167.21,58.98,90.89,NA,NA,""
"5","IL2022-10006",1.58,132.15,39.34,2.13,167.27,58.38,93.06,7.4,"obs:Normal",""
"6","IL2022-1005",1.32,131.15,36.82,1.28,166.87,60.32,86.25,7.37,"obs:Good",NA
"7","IL2022-10072",2.23,131.6,36.37,2.04,168,59.44,96.49,8.07,"hd:E, obs:Normal",""
"8","IL2022-10131",1.67,132.08,36.95,1.82,168.39,60.14,89.26,6.64,"hd:N, obs:Fair",""
"9","IL2022-10176",1.64,132.02,39.34,1.52,166.68,58.83,88.75,6.89,"hd:N, obs:Normal",""
"10","IL2022-10178",1.82,132.29,38.17,2.07,167.17,57.69,82.61,7.3,"obs:Good",NA
"11","IL2022-1018",1.48,130,37.37,2.03,164.83,58.49,76.1,6.47,"hd:E, obs:Fair",""
"12","IL2022-10212",1.56,130.81,35.9,1.83,166.39,57.94,81.41,6.61,"hd:N, obs:Normal",""
"13","IL2022-10225",1.93,133.2,38.42,1.63,165.81,57.61,88.6,6.7,"hd:N, obs:Normal",NA
"14","IL2022-10232",1.25,132.48,34.44,-0.15,166.47,55.28,82.88,7.86,"hd:N, npt, obs:Good",NA
"15","IL2022-10239",2.16,133.3,33.55,0.66,166.9,56.56,83.13,7.04,"hd:N, obs:Good",""
"16","IL2022-10244",1.71,134.73,35.52,1.41,168.33,56.2,86.7,7.55,"hd:E, obs:Normal",NA
"17","IL2022-10260",1.5,133.64,34.92,0.99,167.06,58.37,90.18,7.59,"hd:L, obs:Normal",""
"18","IL2022-10264",1.87,134.62,34.81,1.18,169.12,56.21,79.29,6.05,"hd:E, obs:Normal",NA
"19","IL2022-10310",2.01,132.88,34.58,0.11,166.36,54.39,87.74,6.65,"obs:Good",NA
"20","IL2022-10318",2.15,132.45,33.22,1.07,166.91,56.43,86.33,6.68,"hd:L, obs:Good",NA
"21","IL2022-10352",1.61,133.5,35.73,0.44,167.95,55.65,84.24,6.31,"hd:L",""
"22","IL2022-10376",1.73,132.15,35.92,1.41,164.22,57.62,85.97,6.68,"hd:N, obs:Normal",""
"23","IL2022-10377",1.58,129.02,34.53,1.78,164.23,54.89,78.61,5.6,"hd:E, obs:Good",""
"24","IL2022-10404",1.98,132.85,35.2,0.99,168.08,58.94,97.48,7.55,"obs:Normal",""
"25","IL2022-10405",1.99,132.49,34.46,0.87,168.21,57.41,94.72,8.82,"hd:N, late, obs:Good","npt, later"
"26","IL2022-10413",1.94,133.53,35.68,1.32,168.19,59.02,99.16,7.96,"obs:Normal",NA
"27","IL2022-10450",1.38,133.21,36.32,1.26,169.08,58.56,95.25,8,"obs:Good",""
"28","IL2022-10460",1.58,133.37,35.44,1.39,169.14,59.08,91.34,7.32,"obs:Normal",""
"29","IL2022-10508",1.18,128.91,37.2,1.99,165.78,57.52,74.54,5.4,"hd:E, ve, obs:Normal",""
"30","IL2022-1056",0.87,131.8,39.04,3.12,166.59,57.79,84.65,7.42,"hd:N, obs:Poor",""
"31","IL2022-10577",1.75,133.4,34.79,2.28,165.05,58.24,88.29,6.65,"hd:N, obs:Good","npt"
"32","IL2022-10625",2.03,132.21,35.43,1.25,168.19,56.99,87.18,6.77,"obs:Fair",""
"33","IL2022-10648",1.9,132.58,36,1.47,167.41,59.11,93.86,6.46,"hd:N, obs:Fair",""
"34","IL2022-10669",2.11,131.42,37.97,2.14,166.3,57.64,94.09,7.45,"obs:Normal",""
"35","IL2022-10703",1.95,131.57,37.42,2.59,165.35,58.69,86.99,7.22,"hd:N, obs:Normal",""
"36","IL2022-10716",1.78,131.78,36.53,1.94,168.46,57.01,93.4,7.18,"obs:Good",""
"37","IL2022-10744",1.96,131.71,38.51,1.65,166.49,59.08,92.55,7.4,"hd:N, obs:Fair",NA
"38","IL2022-10817",1.35,132.63,35.96,1.96,164.94,58.51,92.39,6.62,"hd:E, obs:Good",""
"39","IL2022-10821",1.27,130.18,38.41,2.49,166.52,58.56,81.68,7.98,"hd:N, obs:Poor",NA
"40","IL2022-10829",1.88,131.03,35.87,2.29,164.74,58.28,91.28,7.35,"hd:E, obs:Normal",NA
"41","IL2022-10832",1.15,133.4,37.91,2.3,164.58,57.48,83.9,5.9,"obs:Normal",NA
