germplasmName,observationUnitName,notes
IL2022-7562,YT_Urb_23-1,lodging 
IL2021-38672,YT_Urb_23-10,
IL2022-11205,YT_Urb_23-100,
IL2022-11602,YT_Urb_23-1000,
IL2021-13734,YT_Urb_23-1001,
IL2022-14223,YT_Urb_23-1002,npt
IL2022-16617,YT_Urb_23-1003,
IL2021-27813,YT_Urb_23-1004,
IL2022-21673,YT_Urb_23-1005,
IL2021-36450,YT_Urb_23-1006,
IL2022-5312,YT_Urb_23-1007,
19-13978,YT_Urb_23-1008,
IL2022-7334,YT_Urb_23-1009,
IL16LCSDH-07-T-2662-22,YT_Urb_23-101,
IL2021-46035,YT_Urb_23-1010,
IL2022-5542,YT_Urb_23-1011,
IL2022-15028,YT_Urb_23-1012,
IL16LCSDH-09-T-2664-30,YT_Urb_23-1013,
IL2022-11058,YT_Urb_23-1014,"late, bronze"
2020-4907,YT_Urb_23-1015,
IL2022-10577,YT_Urb_23-1016,npt
IL2022-22527,YT_Urb_23-1017,
19-27565,YT_Urb_23-1018,
IL2022-5235,YT_Urb_23-1019,
IL2022-2178,YT_Urb_23-102,
IL2021-28973,YT_Urb_23-1020,
IL2022-17228,YT_Urb_23-1021,
2020-6633,YT_Urb_23-1022,
IL2022-18811,YT_Urb_23-1023,
2020-15403,YT_Urb_23-1024,
IL2022-16411,YT_Urb_23-1025,
IL16LCSDH-03-T-865-28,YT_Urb_23-1026,mixed
IL2022-22147,YT_Urb_23-1027,
2020-571,YT_Urb_23-1028,
IL2022-561,YT_Urb_23-1029,
IL2021-41344,YT_Urb_23-103,
2020-8754,YT_Urb_23-1030,
IL2022-4424,YT_Urb_23-1031,
IL16LCSDH-09-T-2664-28,YT_Urb_23-1032,
IL2022-12203,YT_Urb_23-1033,
IL2022-15174,YT_Urb_23-1034,
IL2021-3936,YT_Urb_23-1035,
IL2021-40648,YT_Urb_23-1036,thick
IL2021-21969,YT_Urb_23-1037,
IL2022-7929,YT_Urb_23-1038,
19-18957,YT_Urb_23-1039,
2020-5250,YT_Urb_23-104,
IL2022-7673,YT_Urb_23-1040,
19-5632,YT_Urb_23-1041,
2020-3234,YT_Urb_23-1042,
IL2022-3976,YT_Urb_23-1043,
