"","germplasmName","predicted.value","std.error","status"
"1","17-2920",84.2132425798703,3.22512448735574,"Estimable"
"2","17-4326",87.9825582646686,3.12944218849326,"Estimable"
"3","17-5643",89.2715738144436,3.15393230646444,"Estimable"
"4","17-6412",79.0309364926887,3.09759277087114,"Estimable"
"5","17-6863",83.9710595234228,2.90400399865726,"Estimable"
"6","17-7136",75.8880700438882,3.13529503376057,"Estimable"
"7","17-7976",76.4990491627857,3.1976946263617,"Estimable"
"8","17-7978",88.5609347099569,3.14544621961985,"Estimable"
"9","17-8004",78.581588325744,3.14303781105541,"Estimable"
"10","17-8036",87.9850638836537,3.01862110928408,"Estimable"
"11","17-8143",84.9914306972166,3.17403586076058,"Estimable"
"12","17-8152",87.1021499751801,3.17862110110454,"Estimable"
"13","17-8620",81.1513695058264,3.01741103831173,"Estimable"
"14","17-8626",84.5055711459073,3.01650316104916,"Estimable"
"15","17-8628",82.7454473619029,2.99697886732778,"Estimable"
"16","17-8636",78.9668499656866,3.00778103675692,"Estimable"
"17","17-8643",76.194466320266,3.11816711657772,"Estimable"
"18","17-8738",76.988696242657,3.10441007153234,"Estimable"
"19","17-8749",84.4394998065201,3.00248789698273,"Estimable"
"20","17-8824",87.528312669637,2.94555827605492,"Estimable"
"21","17-8831",90.9864975835258,2.97808626193002,"Estimable"
"22","17-8832",86.1810089943799,3.02884730037438,"Estimable"
"23","17-8930",87.533361164753,2.7955064335419,"Estimable"
"24","17-8948",85.1397465938107,2.92707436773142,"Estimable"
"25","17-9161",80.4892293745954,3.19084728222954,"Estimable"
"26","17-9211",87.8519661477685,3.06793831042816,"Estimable"
"27","17-9339",89.5912160716259,3.01290825999214,"Estimable"
"28","17-9663",85.3646730103929,3.17285198223908,"Estimable"
"29","17-9832",84.7948604118643,3.20562424893159,"Estimable"
"30","17-9839",86.2696496656066,3.23196123426411,"Estimable"
"31","17-9968",85.2788924625562,3.03211973880974,"Estimable"
"32","17-10948",80.5588965572685,3.08805285914206,"Estimable"
"33","17-10964",80.2156640568679,3.13555250007037,"Estimable"
"34","17-12172",77.1444747708791,3.16306547298224,"Estimable"
"35","17-12564",77.792478801675,2.9881375613585,"Estimable"
"36","17-12623",82.8019170277279,2.96612362815697,"Estimable"
"37","17-12954",84.2078732228003,3.02813876376973,"Estimable"
"38","17-13024",79.2167821642272,3.0451967833746,"Estimable"
"39","17-13938",82.1789277685819,3.20865652042196,"Estimable"
"40","17-15352",85.1172766462482,3.15256651825898,"Estimable"
"41","17-15667",79.5429992232665,3.20090451280286,"Estimable"
"42","17-17526",83.5785606936702,3.06119662029295,"Estimable"
"43","17-17739",89.1913723332153,2.95509687721115,"Estimable"
"44","17-18159",81.7930583854077,3.11936242334961,"Estimable"
"45","17-18176",80.9990898561798,3.11218986226391,"Estimable"
"46","17-18320",87.7276018663767,2.98430957228931,"Estimable"
"47","17-18529",81.0890546099586,3.10942179394265,"Estimable"
"48","17-18534",86.9524233706204,2.98131608109343,"Estimable"
"49","17-19355",85.829609069023,2.98334338038358,"Estimable"
"50","17-19939",72.847459905591,3.11040969040246,"Estimable"
"51","17-20035",77.4630930996106,3.13900636879975,"Estimable"
"52","17-20346",83.6565307080009,3.05906292893606,"Estimable"
"53","17-20426",87.1096065460962,3.08015018567329,"Estimable"
"54","17-20472",77.5331281740748,3.11784757178344,"Estimable"
"55","17-21447",84.0802063215467,3.10522178589646,"Estimable"
"56","17-21812",77.4532840080205,3.27264044758348,"Estimable"
"57","17-22168",83.1252604201688,3.10737131052261,"Estimable"
"58","17-23868",79.4530570956816,3.05607789135457,"Estimable"
