"","study","germplasmName","predicted.value","std.error","status"
"1","YT_Addie_23","IL2021-1058",95.6621075188313,4.88815292353499,"Estimable"
"2","YT_Addie_23","IL2021-10769",97.3179650534473,4.88815292353499,"Estimable"
"3","YT_Addie_23","IL2021-10820",94.6169798680404,4.75066084002335,"Estimable"
"4","YT_Addie_23","IL2021-10963",97.4247732605622,4.76489076370283,"Estimable"
"5","YT_Addie_23","IL2021-10969",97.409485974356,4.74606998844268,"Estimable"
"6","YT_Addie_23","IL2021-11020",95.5123025498025,4.74871101980332,"Estimable"
"7","YT_Addie_23","IL2021-11039",94.9877826597508,4.74760379177258,"Estimable"
"8","YT_Addie_23","IL2021-11107",96.9249121473492,4.75768471207752,"Estimable"
"9","YT_Addie_23","IL2021-11217",96.4985074564358,4.74570956940798,"Estimable"
"10","YT_Addie_23","IL2021-11225",95.6034646090528,4.74616137728506,"Estimable"
"11","YT_Addie_23","IL2021-11252",95.7928023112089,4.74875147881505,"Estimable"
"12","YT_Addie_23","IL2021-11322",95.6591198771622,4.74357879546599,"Estimable"
"13","YT_Addie_23","IL2021-11374",95.8058308216682,4.74978989473167,"Estimable"
"14","YT_Addie_23","IL2021-1141",96.3912693213537,4.59601384005018,"Estimable"
"15","YT_Addie_23","IL2021-11441",96.286699812615,4.75750749059367,"Estimable"
"16","YT_Addie_23","IL2021-115",93.9022010568508,4.60139554335318,"Estimable"
"17","YT_Addie_23","IL2021-11534",94.9821174891895,4.76751768930043,"Estimable"
"18","YT_Addie_23","IL2021-1156",97.3620530756712,4.76037490728488,"Estimable"
"19","YT_Addie_23","IL2021-11573",96.2538863513904,4.76033572910454,"Estimable"
"20","YT_Addie_23","IL2021-11622",96.6594733146969,4.88815292353499,"Estimable"
"21","YT_Addie_23","IL2021-1163",96.7914943436953,4.75464240348451,"Estimable"
"22","YT_Addie_23","IL2021-11634",99.5585122039511,3.07776237549178,"Estimable"
"23","YT_Addie_23","IL2021-11703",97.6007763632641,4.68185258237775,"Estimable"
"24","YT_Addie_23","IL2021-11772",96.1447159022738,4.74884344119185,"Estimable"
"25","YT_Addie_23","IL2021-11820",96.0849337068499,4.75623347849838,"Estimable"
"26","YT_Addie_23","IL2021-11821",96.6772610777803,4.73668008149877,"Estimable"
"27","YT_Addie_23","IL2021-11830",94.5313213549098,4.73913771052335,"Estimable"
"28","YT_Addie_23","IL2021-11835",93.4968851228552,4.74422624354425,"Estimable"
"29","YT_Addie_23","IL2021-11869",95.6066877797354,4.76431690649137,"Estimable"
"30","YT_Addie_23","IL2021-11915",93.5273469014176,4.75534058811852,"Estimable"
"31","YT_Addie_23","IL2021-11935",94.086331534772,4.75630339673238,"Estimable"
"32","YT_Addie_23","IL2021-11939",96.1401587894712,4.7352672821608,"Estimable"
"33","YT_Addie_23","IL2021-11962",95.5724597326872,4.88815292353499,"Estimable"
"34","YT_Addie_23","IL2021-12314",97.3863254519612,4.74853050352597,"Estimable"
"35","YT_Addie_23","IL2021-12322",96.7876987958378,4.75408125134042,"Estimable"
"36","YT_Addie_23","IL2021-12341",93.1163068120103,4.76012960236492,"Estimable"
